date,interval,data_type,key
2026-09-18,daily,aggTrades,data/futures/um/daily/aggTrades/AGPUUSDT/AGPUUSDT-aggTrades-2026-09-18.zip
2026-09-18,daily,bookDepth,data/futures/um/daily/bookDepth/AGPUUSDT/AGPUUSDT-bookDepth-2026-09-18.zip
2026-09-18,daily,metrics,data/futures/um/daily/metrics/AGPUUSDT/AGPUUSDT-metrics-2026-09-18.zip
2026-09-19,daily,aggTrades,data/futures/um/daily/aggTrades/AGPUUSDT/AGPUUSDT-aggTrades-2026-09-19.zip
2026-09-19,daily,bookDepth,data/futures/um/daily/bookDepth/AGPUUSDT/AGPUUSDT-bookDepth-2026-09-19.zip
2026-09-19,daily,metrics,data/futures/um/daily/metrics/AGPUUSDT/AGPUUSDT-metrics-2026-09-19.zip
2026-09-20,daily,aggTrades,data/futures/um/daily/aggTrades/AGPUUSDT/AGPUUSDT-aggTrades-2026-09-20.zip
2026-09-20,daily,bookDepth,data/futures/um/daily/bookDepth/AGPUUSDT/AGPUUSDT-bookDepth-2026-09-20.zip
2026-09-20,daily,metrics,data/futures/um/daily/metrics/AGPUUSDT/AGPUUSDT-metrics-2026-09-20.zip
2026-09-21,daily,aggTrades,data/futures/um/daily/aggTrades/AGPUUSDT/AGPUUSDT-aggTrades-2026-09-21.zip
2026-09-21,daily,bookDepth,data/futures/um/daily/bookDepth/AGPUUSDT/AGPUUSDT-bookDepth-2026-09-21.zip
2026-09-21,daily,metrics,data/futures/um/daily/metrics/AGPUUSDT/AGPUUSDT-metrics-2026-09-21.zip
2026-09-22,daily,aggTrades,data/futures/um/daily/aggTrades/AGPUUSDT/AGPUUSDT-aggTrades-2026-09-22.zip
2026-09-22,daily,bookDepth,data/futures/um/daily/bookDepth/AGPUUSDT/AGPUUSDT-bookDepth-2026-09-22.zip
2026-09-22,daily,metrics,data/futures/um/daily/metrics/AGPUUSDT/AGPUUSDT-metrics-2026-09-22.zip
2026-09-23,daily,aggTrades,data/futures/um/daily/aggTrades/AGPUUSDT/AGPUUSDT-aggTrades-2026-09-23.zip
2026-09-23,daily,bookDepth,data/futures/um/daily/bookDepth/AGPUUSDT/AGPUUSDT-bookDepth-2026-09-23.zip
2026-09-23,daily,metrics,data/futures/um/daily/metrics/AGPUUSDT/AGPUUSDT-metrics-2026-09-23.zip
2026-09-24,daily,aggTrades,data/futures/um/daily/aggTrades/AGPUUSDT/AGPUUSDT-aggTrades-2026-09-24.zip
2026-09-24,daily,bookDepth,data/futures/um/daily/bookDepth/AGPUUSDT/AGPUUSDT-bookDepth-2026-09-24.zip
2026-09-24,daily,metrics,data/futures/um/daily/metrics/AGPUUSDT/AGPUUSDT-metrics-2026-09-24.zip
2026-09-25,daily,aggTrades,data/futures/um/daily/aggTrades/AGPUUSDT/AGPUUSDT-aggTrades-2026-09-25.zip
2026-09-25,daily,bookDepth,data/futures/um/daily/bookDepth/AGPUUSDT/AGPUUSDT-bookDepth-2026-09-25.zip
2026-09-25,daily,metrics,data/futures/um/daily/metrics/AGPUUSDT/AGPUUSDT-metrics-2026-09-25.zip
