date,interval,data_type,key
2026-04-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/AIGENSYNUSDT/AIGENSYNUSDT-aggTrades-2026-04.zip
2026-04-01,monthly,trades,data/futures/um/monthly/trades/AIGENSYNUSDT/AIGENSYNUSDT-trades-2026-04.zip
2026-04-29,daily,aggTrades,data/futures/um/daily/aggTrades/AIGENSYNUSDT/AIGENSYNUSDT-aggTrades-2026-04-29.zip
2026-04-29,daily,bookDepth,data/futures/um/daily/bookDepth/AIGENSYNUSDT/AIGENSYNUSDT-bookDepth-2026-04-29.zip
2026-04-29,daily,metrics,data/futures/um/daily/metrics/AIGENSYNUSDT/AIGENSYNUSDT-metrics-2026-04-29.zip
2026-04-30,daily,aggTrades,data/futures/um/daily/aggTrades/AIGENSYNUSDT/AIGENSYNUSDT-aggTrades-2026-04-30.zip
2026-04-30,daily,bookDepth,data/futures/um/daily/bookDepth/AIGENSYNUSDT/AIGENSYNUSDT-bookDepth-2026-04-30.zip
2026-04-30,daily,metrics,data/futures/um/daily/metrics/AIGENSYNUSDT/AIGENSYNUSDT-metrics-2026-04-30.zip
2026-05-01,daily,aggTrades,data/futures/um/daily/aggTrades/AIGENSYNUSDT/AIGENSYNUSDT-aggTrades-2026-05-01.zip
2026-05-01,daily,bookDepth,data/futures/um/daily/bookDepth/AIGENSYNUSDT/AIGENSYNUSDT-bookDepth-2026-05-01.zip
2026-05-01,daily,metrics,data/futures/um/daily/metrics/AIGENSYNUSDT/AIGENSYNUSDT-metrics-2026-05-01.zip
2026-05-02,daily,aggTrades,data/futures/um/daily/aggTrades/AIGENSYNUSDT/AIGENSYNUSDT-aggTrades-2026-05-02.zip
2026-05-02,daily,bookDepth,data/futures/um/daily/bookDepth/AIGENSYNUSDT/AIGENSYNUSDT-bookDepth-2026-05-02.zip
2026-05-02,daily,metrics,data/futures/um/daily/metrics/AIGENSYNUSDT/AIGENSYNUSDT-metrics-2026-05-02.zip
2026-05-03,daily,aggTrades,data/futures/um/daily/aggTrades/AIGENSYNUSDT/AIGENSYNUSDT-aggTrades-2026-05-03.zip
2026-05-03,daily,bookDepth,data/futures/um/daily/bookDepth/AIGENSYNUSDT/AIGENSYNUSDT-bookDepth-2026-05-03.zip
2026-05-03,daily,metrics,data/futures/um/daily/metrics/AIGENSYNUSDT/AIGENSYNUSDT-metrics-2026-05-03.zip
2026-05-04,daily,aggTrades,data/futures/um/daily/aggTrades/AIGENSYNUSDT/AIGENSYNUSDT-aggTrades-2026-05-04.zip
2026-05-04,daily,bookDepth,data/futures/um/daily/bookDepth/AIGENSYNUSDT/AIGENSYNUSDT-bookDepth-2026-05-04.zip
2026-05-04,daily,metrics,data/futures/um/daily/metrics/AIGENSYNUSDT/AIGENSYNUSDT-metrics-2026-05-04.zip
2026-05-05,daily,aggTrades,data/futures/um/daily/aggTrades/AIGENSYNUSDT/AIGENSYNUSDT-aggTrades-2026-05-05.zip
2026-05-05,daily,bookDepth,data/futures/um/daily/bookDepth/AIGENSYNUSDT/AIGENSYNUSDT-bookDepth-2026-05-05.zip
2026-05-05,daily,metrics,data/futures/um/daily/metrics/AIGENSYNUSDT/AIGENSYNUSDT-metrics-2026-05-05.zip
2026-05-06,daily,aggTrades,data/futures/um/daily/aggTrades/AIGENSYNUSDT/AIGENSYNUSDT-aggTrades-2026-05-06.zip
2026-05-06,daily,bookDepth,data/futures/um/daily/bookDepth/AIGENSYNUSDT/AIGENSYNUSDT-bookDepth-2026-05-06.zip
2026-05-06,daily,metrics,data/futures/um/daily/metrics/AIGENSYNUSDT/AIGENSYNUSDT-metrics-2026-05-06.zip
2026-05-07,daily,aggTrades,data/futures/um/daily/aggTrades/AIGENSYNUSDT/AIGENSYNUSDT-aggTrades-2026-05-07.zip
2026-05-07,daily,bookDepth,data/futures/um/daily/bookDepth/AIGENSYNUSDT/AIGENSYNUSDT-bookDepth-2026-05-07.zip
2026-05-07,daily,metrics,data/futures/um/daily/metrics/AIGENSYNUSDT/AIGENSYNUSDT-metrics-2026-05-07.zip
2026-05-08,daily,aggTrades,data/futures/um/daily/aggTrades/AIGENSYNUSDT/AIGENSYNUSDT-aggTrades-2026-05-08.zip
2026-05-08,daily,bookDepth,data/futures/um/daily/bookDepth/AIGENSYNUSDT/AIGENSYNUSDT-bookDepth-2026-05-08.zip
2026-05-08,daily,metrics,data/futures/um/daily/metrics/AIGENSYNUSDT/AIGENSYNUSDT-metrics-2026-05-08.zip
