date,interval,data_type,key
2026-05-06,daily,aggTrades,data/futures/um/daily/aggTrades/AMDUSDT/AMDUSDT-aggTrades-2026-05-06.zip
2026-05-06,daily,bookDepth,data/futures/um/daily/bookDepth/AMDUSDT/AMDUSDT-bookDepth-2026-05-06.zip
2026-05-06,daily,metrics,data/futures/um/daily/metrics/AMDUSDT/AMDUSDT-metrics-2026-05-06.zip
2026-05-07,daily,aggTrades,data/futures/um/daily/aggTrades/AMDUSDT/AMDUSDT-aggTrades-2026-05-07.zip
2026-05-07,daily,bookDepth,data/futures/um/daily/bookDepth/AMDUSDT/AMDUSDT-bookDepth-2026-05-07.zip
2026-05-07,daily,metrics,data/futures/um/daily/metrics/AMDUSDT/AMDUSDT-metrics-2026-05-07.zip
2026-05-08,daily,aggTrades,data/futures/um/daily/aggTrades/AMDUSDT/AMDUSDT-aggTrades-2026-05-08.zip
2026-05-08,daily,bookDepth,data/futures/um/daily/bookDepth/AMDUSDT/AMDUSDT-bookDepth-2026-05-08.zip
2026-05-08,daily,metrics,data/futures/um/daily/metrics/AMDUSDT/AMDUSDT-metrics-2026-05-08.zip
2026-05-09,daily,aggTrades,data/futures/um/daily/aggTrades/AMDUSDT/AMDUSDT-aggTrades-2026-05-09.zip
2026-05-09,daily,bookDepth,data/futures/um/daily/bookDepth/AMDUSDT/AMDUSDT-bookDepth-2026-05-09.zip
2026-05-09,daily,metrics,data/futures/um/daily/metrics/AMDUSDT/AMDUSDT-metrics-2026-05-09.zip
2026-05-10,daily,aggTrades,data/futures/um/daily/aggTrades/AMDUSDT/AMDUSDT-aggTrades-2026-05-10.zip
2026-05-10,daily,bookDepth,data/futures/um/daily/bookDepth/AMDUSDT/AMDUSDT-bookDepth-2026-05-10.zip
2026-05-10,daily,metrics,data/futures/um/daily/metrics/AMDUSDT/AMDUSDT-metrics-2026-05-10.zip
2026-05-11,daily,aggTrades,data/futures/um/daily/aggTrades/AMDUSDT/AMDUSDT-aggTrades-2026-05-11.zip
2026-05-11,daily,bookDepth,data/futures/um/daily/bookDepth/AMDUSDT/AMDUSDT-bookDepth-2026-05-11.zip
2026-05-11,daily,metrics,data/futures/um/daily/metrics/AMDUSDT/AMDUSDT-metrics-2026-05-11.zip
2026-05-12,daily,aggTrades,data/futures/um/daily/aggTrades/AMDUSDT/AMDUSDT-aggTrades-2026-05-12.zip
2026-05-12,daily,bookDepth,data/futures/um/daily/bookDepth/AMDUSDT/AMDUSDT-bookDepth-2026-05-12.zip
2026-05-12,daily,metrics,data/futures/um/daily/metrics/AMDUSDT/AMDUSDT-metrics-2026-05-12.zip
