date,interval,data_type,key
2026-03-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/BASEDUSDT/BASEDUSDT-aggTrades-2026-03.zip
2026-03-01,monthly,trades,data/futures/um/monthly/trades/BASEDUSDT/BASEDUSDT-trades-2026-03.zip
2026-03-30,daily,aggTrades,data/futures/um/daily/aggTrades/BASEDUSDT/BASEDUSDT-aggTrades-2026-03-30.zip
2026-03-30,daily,bookDepth,data/futures/um/daily/bookDepth/BASEDUSDT/BASEDUSDT-bookDepth-2026-03-30.zip
2026-03-30,daily,metrics,data/futures/um/daily/metrics/BASEDUSDT/BASEDUSDT-metrics-2026-03-30.zip
2026-03-31,daily,aggTrades,data/futures/um/daily/aggTrades/BASEDUSDT/BASEDUSDT-aggTrades-2026-03-31.zip
2026-03-31,daily,bookDepth,data/futures/um/daily/bookDepth/BASEDUSDT/BASEDUSDT-bookDepth-2026-03-31.zip
2026-03-31,daily,metrics,data/futures/um/daily/metrics/BASEDUSDT/BASEDUSDT-metrics-2026-03-31.zip
2026-04-01,daily,aggTrades,data/futures/um/daily/aggTrades/BASEDUSDT/BASEDUSDT-aggTrades-2026-04-01.zip
2026-04-01,daily,bookDepth,data/futures/um/daily/bookDepth/BASEDUSDT/BASEDUSDT-bookDepth-2026-04-01.zip
2026-04-01,daily,metrics,data/futures/um/daily/metrics/BASEDUSDT/BASEDUSDT-metrics-2026-04-01.zip
2026-04-02,daily,aggTrades,data/futures/um/daily/aggTrades/BASEDUSDT/BASEDUSDT-aggTrades-2026-04-02.zip
2026-04-02,daily,bookDepth,data/futures/um/daily/bookDepth/BASEDUSDT/BASEDUSDT-bookDepth-2026-04-02.zip
2026-04-02,daily,metrics,data/futures/um/daily/metrics/BASEDUSDT/BASEDUSDT-metrics-2026-04-02.zip
2026-04-03,daily,aggTrades,data/futures/um/daily/aggTrades/BASEDUSDT/BASEDUSDT-aggTrades-2026-04-03.zip
2026-04-03,daily,bookDepth,data/futures/um/daily/bookDepth/BASEDUSDT/BASEDUSDT-bookDepth-2026-04-03.zip
2026-04-03,daily,metrics,data/futures/um/daily/metrics/BASEDUSDT/BASEDUSDT-metrics-2026-04-03.zip
2026-04-04,daily,aggTrades,data/futures/um/daily/aggTrades/BASEDUSDT/BASEDUSDT-aggTrades-2026-04-04.zip
2026-04-04,daily,bookDepth,data/futures/um/daily/bookDepth/BASEDUSDT/BASEDUSDT-bookDepth-2026-04-04.zip
2026-04-04,daily,metrics,data/futures/um/daily/metrics/BASEDUSDT/BASEDUSDT-metrics-2026-04-04.zip
2026-04-05,daily,aggTrades,data/futures/um/daily/aggTrades/BASEDUSDT/BASEDUSDT-aggTrades-2026-04-05.zip
2026-04-05,daily,bookDepth,data/futures/um/daily/bookDepth/BASEDUSDT/BASEDUSDT-bookDepth-2026-04-05.zip
2026-04-05,daily,metrics,data/futures/um/daily/metrics/BASEDUSDT/BASEDUSDT-metrics-2026-04-05.zip
2026-04-06,daily,aggTrades,data/futures/um/daily/aggTrades/BASEDUSDT/BASEDUSDT-aggTrades-2026-04-06.zip
2026-04-06,daily,bookDepth,data/futures/um/daily/bookDepth/BASEDUSDT/BASEDUSDT-bookDepth-2026-04-06.zip
2026-04-06,daily,metrics,data/futures/um/daily/metrics/BASEDUSDT/BASEDUSDT-metrics-2026-04-06.zip
2026-04-07,daily,aggTrades,data/futures/um/daily/aggTrades/BASEDUSDT/BASEDUSDT-aggTrades-2026-04-07.zip
2026-04-07,daily,bookDepth,data/futures/um/daily/bookDepth/BASEDUSDT/BASEDUSDT-bookDepth-2026-04-07.zip
2026-04-07,daily,metrics,data/futures/um/daily/metrics/BASEDUSDT/BASEDUSDT-metrics-2026-04-07.zip
2026-04-08,daily,aggTrades,data/futures/um/daily/aggTrades/BASEDUSDT/BASEDUSDT-aggTrades-2026-04-08.zip
2026-04-08,daily,bookDepth,data/futures/um/daily/bookDepth/BASEDUSDT/BASEDUSDT-bookDepth-2026-04-08.zip
2026-04-08,daily,metrics,data/futures/um/daily/metrics/BASEDUSDT/BASEDUSDT-metrics-2026-04-08.zip
2026-04-09,daily,aggTrades,data/futures/um/daily/aggTrades/BASEDUSDT/BASEDUSDT-aggTrades-2026-04-09.zip
2026-04-09,daily,bookDepth,data/futures/um/daily/bookDepth/BASEDUSDT/BASEDUSDT-bookDepth-2026-04-09.zip
2026-04-09,daily,metrics,data/futures/um/daily/metrics/BASEDUSDT/BASEDUSDT-metrics-2026-04-09.zip
2026-04-10,daily,aggTrades,data/futures/um/daily/aggTrades/BASEDUSDT/BASEDUSDT-aggTrades-2026-04-10.zip
2026-04-10,daily,bookDepth,data/futures/um/daily/bookDepth/BASEDUSDT/BASEDUSDT-bookDepth-2026-04-10.zip
2026-04-10,daily,metrics,data/futures/um/daily/metrics/BASEDUSDT/BASEDUSDT-metrics-2026-04-10.zip
