date,interval,data_type,key
2026-05-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/BEUSDT/BEUSDT-aggTrades-2026-05.zip
2026-05-01,monthly,trades,data/futures/um/monthly/trades/BEUSDT/BEUSDT-trades-2026-05.zip
2026-05-26,daily,aggTrades,data/futures/um/daily/aggTrades/BEUSDT/BEUSDT-aggTrades-2026-05-26.zip
2026-05-26,daily,bookDepth,data/futures/um/daily/bookDepth/BEUSDT/BEUSDT-bookDepth-2026-05-26.zip
2026-05-26,daily,metrics,data/futures/um/daily/metrics/BEUSDT/BEUSDT-metrics-2026-05-26.zip
2026-05-27,daily,aggTrades,data/futures/um/daily/aggTrades/BEUSDT/BEUSDT-aggTrades-2026-05-27.zip
2026-05-27,daily,bookDepth,data/futures/um/daily/bookDepth/BEUSDT/BEUSDT-bookDepth-2026-05-27.zip
2026-05-27,daily,metrics,data/futures/um/daily/metrics/BEUSDT/BEUSDT-metrics-2026-05-27.zip
2026-05-28,daily,aggTrades,data/futures/um/daily/aggTrades/BEUSDT/BEUSDT-aggTrades-2026-05-28.zip
2026-05-28,daily,bookDepth,data/futures/um/daily/bookDepth/BEUSDT/BEUSDT-bookDepth-2026-05-28.zip
2026-05-28,daily,metrics,data/futures/um/daily/metrics/BEUSDT/BEUSDT-metrics-2026-05-28.zip
2026-05-29,daily,aggTrades,data/futures/um/daily/aggTrades/BEUSDT/BEUSDT-aggTrades-2026-05-29.zip
2026-05-29,daily,bookDepth,data/futures/um/daily/bookDepth/BEUSDT/BEUSDT-bookDepth-2026-05-29.zip
2026-05-29,daily,metrics,data/futures/um/daily/metrics/BEUSDT/BEUSDT-metrics-2026-05-29.zip
2026-05-30,daily,aggTrades,data/futures/um/daily/aggTrades/BEUSDT/BEUSDT-aggTrades-2026-05-30.zip
2026-05-30,daily,bookDepth,data/futures/um/daily/bookDepth/BEUSDT/BEUSDT-bookDepth-2026-05-30.zip
2026-05-30,daily,metrics,data/futures/um/daily/metrics/BEUSDT/BEUSDT-metrics-2026-05-30.zip
2026-05-31,daily,aggTrades,data/futures/um/daily/aggTrades/BEUSDT/BEUSDT-aggTrades-2026-05-31.zip
2026-05-31,daily,bookDepth,data/futures/um/daily/bookDepth/BEUSDT/BEUSDT-bookDepth-2026-05-31.zip
2026-05-31,daily,metrics,data/futures/um/daily/metrics/BEUSDT/BEUSDT-metrics-2026-05-31.zip
