date,interval,data_type,key
2026-05-07,daily,aggTrades,data/futures/um/daily/aggTrades/BILLUSDT/BILLUSDT-aggTrades-2026-05-07.zip
2026-05-07,daily,bookDepth,data/futures/um/daily/bookDepth/BILLUSDT/BILLUSDT-bookDepth-2026-05-07.zip
2026-05-07,daily,metrics,data/futures/um/daily/metrics/BILLUSDT/BILLUSDT-metrics-2026-05-07.zip
2026-05-08,daily,aggTrades,data/futures/um/daily/aggTrades/BILLUSDT/BILLUSDT-aggTrades-2026-05-08.zip
2026-05-08,daily,bookDepth,data/futures/um/daily/bookDepth/BILLUSDT/BILLUSDT-bookDepth-2026-05-08.zip
2026-05-08,daily,metrics,data/futures/um/daily/metrics/BILLUSDT/BILLUSDT-metrics-2026-05-08.zip
2026-05-09,daily,aggTrades,data/futures/um/daily/aggTrades/BILLUSDT/BILLUSDT-aggTrades-2026-05-09.zip
2026-05-09,daily,bookDepth,data/futures/um/daily/bookDepth/BILLUSDT/BILLUSDT-bookDepth-2026-05-09.zip
2026-05-09,daily,metrics,data/futures/um/daily/metrics/BILLUSDT/BILLUSDT-metrics-2026-05-09.zip
2026-05-10,daily,aggTrades,data/futures/um/daily/aggTrades/BILLUSDT/BILLUSDT-aggTrades-2026-05-10.zip
2026-05-10,daily,bookDepth,data/futures/um/daily/bookDepth/BILLUSDT/BILLUSDT-bookDepth-2026-05-10.zip
2026-05-10,daily,metrics,data/futures/um/daily/metrics/BILLUSDT/BILLUSDT-metrics-2026-05-10.zip
2026-05-11,daily,aggTrades,data/futures/um/daily/aggTrades/BILLUSDT/BILLUSDT-aggTrades-2026-05-11.zip
2026-05-11,daily,bookDepth,data/futures/um/daily/bookDepth/BILLUSDT/BILLUSDT-bookDepth-2026-05-11.zip
2026-05-11,daily,metrics,data/futures/um/daily/metrics/BILLUSDT/BILLUSDT-metrics-2026-05-11.zip
