date,interval,data_type,key
2025-11-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/BOBUSDT/BOBUSDT-aggTrades-2025-11.zip
2025-11-01,monthly,trades,data/futures/um/monthly/trades/BOBUSDT/BOBUSDT-trades-2025-11.zip
2025-11-21,daily,aggTrades,data/futures/um/daily/aggTrades/BOBUSDT/BOBUSDT-aggTrades-2025-11-21.zip
2025-11-21,daily,bookDepth,data/futures/um/daily/bookDepth/BOBUSDT/BOBUSDT-bookDepth-2025-11-21.zip
2025-11-21,daily,metrics,data/futures/um/daily/metrics/BOBUSDT/BOBUSDT-metrics-2025-11-21.zip
2025-11-22,daily,aggTrades,data/futures/um/daily/aggTrades/BOBUSDT/BOBUSDT-aggTrades-2025-11-22.zip
2025-11-22,daily,bookDepth,data/futures/um/daily/bookDepth/BOBUSDT/BOBUSDT-bookDepth-2025-11-22.zip
2025-11-22,daily,metrics,data/futures/um/daily/metrics/BOBUSDT/BOBUSDT-metrics-2025-11-22.zip
2025-11-23,daily,aggTrades,data/futures/um/daily/aggTrades/BOBUSDT/BOBUSDT-aggTrades-2025-11-23.zip
2025-11-23,daily,bookDepth,data/futures/um/daily/bookDepth/BOBUSDT/BOBUSDT-bookDepth-2025-11-23.zip
2025-11-23,daily,metrics,data/futures/um/daily/metrics/BOBUSDT/BOBUSDT-metrics-2025-11-23.zip
2025-11-24,daily,aggTrades,data/futures/um/daily/aggTrades/BOBUSDT/BOBUSDT-aggTrades-2025-11-24.zip
2025-11-24,daily,bookDepth,data/futures/um/daily/bookDepth/BOBUSDT/BOBUSDT-bookDepth-2025-11-24.zip
2025-11-24,daily,metrics,data/futures/um/daily/metrics/BOBUSDT/BOBUSDT-metrics-2025-11-24.zip
2025-11-25,daily,aggTrades,data/futures/um/daily/aggTrades/BOBUSDT/BOBUSDT-aggTrades-2025-11-25.zip
2025-11-25,daily,bookDepth,data/futures/um/daily/bookDepth/BOBUSDT/BOBUSDT-bookDepth-2025-11-25.zip
2025-11-25,daily,metrics,data/futures/um/daily/metrics/BOBUSDT/BOBUSDT-metrics-2025-11-25.zip
2025-11-26,daily,aggTrades,data/futures/um/daily/aggTrades/BOBUSDT/BOBUSDT-aggTrades-2025-11-26.zip
2025-11-26,daily,bookDepth,data/futures/um/daily/bookDepth/BOBUSDT/BOBUSDT-bookDepth-2025-11-26.zip
2025-11-26,daily,metrics,data/futures/um/daily/metrics/BOBUSDT/BOBUSDT-metrics-2025-11-26.zip
2025-11-27,daily,aggTrades,data/futures/um/daily/aggTrades/BOBUSDT/BOBUSDT-aggTrades-2025-11-27.zip
2025-11-27,daily,bookDepth,data/futures/um/daily/bookDepth/BOBUSDT/BOBUSDT-bookDepth-2025-11-27.zip
2025-11-27,daily,metrics,data/futures/um/daily/metrics/BOBUSDT/BOBUSDT-metrics-2025-11-27.zip
2025-11-28,daily,aggTrades,data/futures/um/daily/aggTrades/BOBUSDT/BOBUSDT-aggTrades-2025-11-28.zip
2025-11-28,daily,bookDepth,data/futures/um/daily/bookDepth/BOBUSDT/BOBUSDT-bookDepth-2025-11-28.zip
2025-11-28,daily,metrics,data/futures/um/daily/metrics/BOBUSDT/BOBUSDT-metrics-2025-11-28.zip
2025-11-29,daily,aggTrades,data/futures/um/daily/aggTrades/BOBUSDT/BOBUSDT-aggTrades-2025-11-29.zip
2025-11-29,daily,bookDepth,data/futures/um/daily/bookDepth/BOBUSDT/BOBUSDT-bookDepth-2025-11-29.zip
2025-11-29,daily,metrics,data/futures/um/daily/metrics/BOBUSDT/BOBUSDT-metrics-2025-11-29.zip
2025-11-30,daily,aggTrades,data/futures/um/daily/aggTrades/BOBUSDT/BOBUSDT-aggTrades-2025-11-30.zip
2025-11-30,daily,bookDepth,data/futures/um/daily/bookDepth/BOBUSDT/BOBUSDT-bookDepth-2025-11-30.zip
2025-11-30,daily,metrics,data/futures/um/daily/metrics/BOBUSDT/BOBUSDT-metrics-2025-11-30.zip
2025-12-01,daily,aggTrades,data/futures/um/daily/aggTrades/BOBUSDT/BOBUSDT-aggTrades-2025-12-01.zip
2025-12-01,daily,bookDepth,data/futures/um/daily/bookDepth/BOBUSDT/BOBUSDT-bookDepth-2025-12-01.zip
2025-12-01,daily,metrics,data/futures/um/daily/metrics/BOBUSDT/BOBUSDT-metrics-2025-12-01.zip
2025-12-02,daily,aggTrades,data/futures/um/daily/aggTrades/BOBUSDT/BOBUSDT-aggTrades-2025-12-02.zip
2025-12-02,daily,bookDepth,data/futures/um/daily/bookDepth/BOBUSDT/BOBUSDT-bookDepth-2025-12-02.zip
2025-12-02,daily,metrics,data/futures/um/daily/metrics/BOBUSDT/BOBUSDT-metrics-2025-12-02.zip
