date,interval,data_type,key
2026-07-01,daily,aggTrades,data/futures/um/daily/aggTrades/BTCU/BTCU-aggTrades-2026-07-01.zip
2026-07-01,daily,bookDepth,data/futures/um/daily/bookDepth/BTCU/BTCU-bookDepth-2026-07-01.zip
2026-07-01,daily,metrics,data/futures/um/daily/metrics/BTCU/BTCU-metrics-2026-07-01.zip
2026-07-02,daily,aggTrades,data/futures/um/daily/aggTrades/BTCU/BTCU-aggTrades-2026-07-02.zip
2026-07-02,daily,bookDepth,data/futures/um/daily/bookDepth/BTCU/BTCU-bookDepth-2026-07-02.zip
2026-07-02,daily,metrics,data/futures/um/daily/metrics/BTCU/BTCU-metrics-2026-07-02.zip
2026-07-03,daily,aggTrades,data/futures/um/daily/aggTrades/BTCU/BTCU-aggTrades-2026-07-03.zip
2026-07-03,daily,bookDepth,data/futures/um/daily/bookDepth/BTCU/BTCU-bookDepth-2026-07-03.zip
2026-07-03,daily,metrics,data/futures/um/daily/metrics/BTCU/BTCU-metrics-2026-07-03.zip
2026-07-04,daily,aggTrades,data/futures/um/daily/aggTrades/BTCU/BTCU-aggTrades-2026-07-04.zip
2026-07-04,daily,bookDepth,data/futures/um/daily/bookDepth/BTCU/BTCU-bookDepth-2026-07-04.zip
2026-07-04,daily,metrics,data/futures/um/daily/metrics/BTCU/BTCU-metrics-2026-07-04.zip
