date,interval,data_type,key
2022-12-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/BTCUSDT_230331/BTCUSDT_230331-aggTrades-2022-12.zip
2022-12-01,monthly,trades,data/futures/um/monthly/trades/BTCUSDT_230331/BTCUSDT_230331-trades-2022-12.zip
2022-12-23,daily,aggTrades,data/futures/um/daily/aggTrades/BTCUSDT_230331/BTCUSDT_230331-aggTrades-2022-12-23.zip
2022-12-23,daily,metrics,data/futures/um/daily/metrics/BTCUSDT_230331/BTCUSDT_230331-metrics-2022-12-23.zip
2022-12-24,daily,aggTrades,data/futures/um/daily/aggTrades/BTCUSDT_230331/BTCUSDT_230331-aggTrades-2022-12-24.zip
2022-12-24,daily,metrics,data/futures/um/daily/metrics/BTCUSDT_230331/BTCUSDT_230331-metrics-2022-12-24.zip
2022-12-25,daily,aggTrades,data/futures/um/daily/aggTrades/BTCUSDT_230331/BTCUSDT_230331-aggTrades-2022-12-25.zip
2022-12-25,daily,metrics,data/futures/um/daily/metrics/BTCUSDT_230331/BTCUSDT_230331-metrics-2022-12-25.zip
2022-12-26,daily,aggTrades,data/futures/um/daily/aggTrades/BTCUSDT_230331/BTCUSDT_230331-aggTrades-2022-12-26.zip
2022-12-26,daily,metrics,data/futures/um/daily/metrics/BTCUSDT_230331/BTCUSDT_230331-metrics-2022-12-26.zip
2022-12-27,daily,aggTrades,data/futures/um/daily/aggTrades/BTCUSDT_230331/BTCUSDT_230331-aggTrades-2022-12-27.zip
2022-12-27,daily,metrics,data/futures/um/daily/metrics/BTCUSDT_230331/BTCUSDT_230331-metrics-2022-12-27.zip
2022-12-28,daily,aggTrades,data/futures/um/daily/aggTrades/BTCUSDT_230331/BTCUSDT_230331-aggTrades-2022-12-28.zip
2022-12-28,daily,metrics,data/futures/um/daily/metrics/BTCUSDT_230331/BTCUSDT_230331-metrics-2022-12-28.zip
2022-12-29,daily,aggTrades,data/futures/um/daily/aggTrades/BTCUSDT_230331/BTCUSDT_230331-aggTrades-2022-12-29.zip
2022-12-29,daily,metrics,data/futures/um/daily/metrics/BTCUSDT_230331/BTCUSDT_230331-metrics-2022-12-29.zip
2022-12-30,daily,aggTrades,data/futures/um/daily/aggTrades/BTCUSDT_230331/BTCUSDT_230331-aggTrades-2022-12-30.zip
2022-12-30,daily,metrics,data/futures/um/daily/metrics/BTCUSDT_230331/BTCUSDT_230331-metrics-2022-12-30.zip
2022-12-31,daily,aggTrades,data/futures/um/daily/aggTrades/BTCUSDT_230331/BTCUSDT_230331-aggTrades-2022-12-31.zip
2022-12-31,daily,metrics,data/futures/um/daily/metrics/BTCUSDT_230331/BTCUSDT_230331-metrics-2022-12-31.zip
2023-01-01,daily,aggTrades,data/futures/um/daily/aggTrades/BTCUSDT_230331/BTCUSDT_230331-aggTrades-2023-01-01.zip
2023-01-01,daily,bookDepth,data/futures/um/daily/bookDepth/BTCUSDT_230331/BTCUSDT_230331-bookDepth-2023-01-01.zip
2023-01-01,daily,metrics,data/futures/um/daily/metrics/BTCUSDT_230331/BTCUSDT_230331-metrics-2023-01-01.zip
2023-01-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/BTCUSDT_230331/BTCUSDT_230331-aggTrades-2023-01.zip
2023-01-01,monthly,trades,data/futures/um/monthly/trades/BTCUSDT_230331/BTCUSDT_230331-trades-2023-01.zip
2023-01-02,daily,aggTrades,data/futures/um/daily/aggTrades/BTCUSDT_230331/BTCUSDT_230331-aggTrades-2023-01-02.zip
