date,interval,data_type,key
2026-06-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/CAPUSDT/CAPUSDT-aggTrades-2026-06.zip
2026-06-01,monthly,trades,data/futures/um/monthly/trades/CAPUSDT/CAPUSDT-trades-2026-06.zip
2026-06-27,daily,aggTrades,data/futures/um/daily/aggTrades/CAPUSDT/CAPUSDT-aggTrades-2026-06-27.zip
2026-06-27,daily,bookDepth,data/futures/um/daily/bookDepth/CAPUSDT/CAPUSDT-bookDepth-2026-06-27.zip
2026-06-27,daily,metrics,data/futures/um/daily/metrics/CAPUSDT/CAPUSDT-metrics-2026-06-27.zip
2026-06-28,daily,aggTrades,data/futures/um/daily/aggTrades/CAPUSDT/CAPUSDT-aggTrades-2026-06-28.zip
2026-06-28,daily,bookDepth,data/futures/um/daily/bookDepth/CAPUSDT/CAPUSDT-bookDepth-2026-06-28.zip
2026-06-28,daily,metrics,data/futures/um/daily/metrics/CAPUSDT/CAPUSDT-metrics-2026-06-28.zip
2026-06-29,daily,aggTrades,data/futures/um/daily/aggTrades/CAPUSDT/CAPUSDT-aggTrades-2026-06-29.zip
2026-06-29,daily,bookDepth,data/futures/um/daily/bookDepth/CAPUSDT/CAPUSDT-bookDepth-2026-06-29.zip
2026-06-29,daily,metrics,data/futures/um/daily/metrics/CAPUSDT/CAPUSDT-metrics-2026-06-29.zip
2026-06-30,daily,aggTrades,data/futures/um/daily/aggTrades/CAPUSDT/CAPUSDT-aggTrades-2026-06-30.zip
2026-06-30,daily,bookDepth,data/futures/um/daily/bookDepth/CAPUSDT/CAPUSDT-bookDepth-2026-06-30.zip
2026-06-30,daily,metrics,data/futures/um/daily/metrics/CAPUSDT/CAPUSDT-metrics-2026-06-30.zip
2026-07-01,daily,aggTrades,data/futures/um/daily/aggTrades/CAPUSDT/CAPUSDT-aggTrades-2026-07-01.zip
2026-07-01,daily,bookDepth,data/futures/um/daily/bookDepth/CAPUSDT/CAPUSDT-bookDepth-2026-07-01.zip
2026-07-01,daily,metrics,data/futures/um/daily/metrics/CAPUSDT/CAPUSDT-metrics-2026-07-01.zip
2026-07-02,daily,aggTrades,data/futures/um/daily/aggTrades/CAPUSDT/CAPUSDT-aggTrades-2026-07-02.zip
2026-07-02,daily,bookDepth,data/futures/um/daily/bookDepth/CAPUSDT/CAPUSDT-bookDepth-2026-07-02.zip
2026-07-02,daily,metrics,data/futures/um/daily/metrics/CAPUSDT/CAPUSDT-metrics-2026-07-02.zip
2026-07-03,daily,aggTrades,data/futures/um/daily/aggTrades/CAPUSDT/CAPUSDT-aggTrades-2026-07-03.zip
2026-07-03,daily,bookDepth,data/futures/um/daily/bookDepth/CAPUSDT/CAPUSDT-bookDepth-2026-07-03.zip
2026-07-03,daily,metrics,data/futures/um/daily/metrics/CAPUSDT/CAPUSDT-metrics-2026-07-03.zip
