date,interval,data_type,key
2026-03-16,daily,aggTrades,data/futures/um/daily/aggTrades/CFGUSDT/CFGUSDT-aggTrades-2026-03-16.zip
2026-03-16,daily,bookDepth,data/futures/um/daily/bookDepth/CFGUSDT/CFGUSDT-bookDepth-2026-03-16.zip
2026-03-16,daily,metrics,data/futures/um/daily/metrics/CFGUSDT/CFGUSDT-metrics-2026-03-16.zip
2026-03-17,daily,aggTrades,data/futures/um/daily/aggTrades/CFGUSDT/CFGUSDT-aggTrades-2026-03-17.zip
2026-03-17,daily,bookDepth,data/futures/um/daily/bookDepth/CFGUSDT/CFGUSDT-bookDepth-2026-03-17.zip
2026-03-17,daily,metrics,data/futures/um/daily/metrics/CFGUSDT/CFGUSDT-metrics-2026-03-17.zip
2026-03-18,daily,aggTrades,data/futures/um/daily/aggTrades/CFGUSDT/CFGUSDT-aggTrades-2026-03-18.zip
2026-03-18,daily,bookDepth,data/futures/um/daily/bookDepth/CFGUSDT/CFGUSDT-bookDepth-2026-03-18.zip
2026-03-18,daily,metrics,data/futures/um/daily/metrics/CFGUSDT/CFGUSDT-metrics-2026-03-18.zip
2026-03-19,daily,aggTrades,data/futures/um/daily/aggTrades/CFGUSDT/CFGUSDT-aggTrades-2026-03-19.zip
2026-03-19,daily,bookDepth,data/futures/um/daily/bookDepth/CFGUSDT/CFGUSDT-bookDepth-2026-03-19.zip
2026-03-19,daily,metrics,data/futures/um/daily/metrics/CFGUSDT/CFGUSDT-metrics-2026-03-19.zip
2026-03-20,daily,aggTrades,data/futures/um/daily/aggTrades/CFGUSDT/CFGUSDT-aggTrades-2026-03-20.zip
2026-03-20,daily,bookDepth,data/futures/um/daily/bookDepth/CFGUSDT/CFGUSDT-bookDepth-2026-03-20.zip
2026-03-20,daily,metrics,data/futures/um/daily/metrics/CFGUSDT/CFGUSDT-metrics-2026-03-20.zip
2026-03-21,daily,aggTrades,data/futures/um/daily/aggTrades/CFGUSDT/CFGUSDT-aggTrades-2026-03-21.zip
2026-03-21,daily,bookDepth,data/futures/um/daily/bookDepth/CFGUSDT/CFGUSDT-bookDepth-2026-03-21.zip
2026-03-21,daily,metrics,data/futures/um/daily/metrics/CFGUSDT/CFGUSDT-metrics-2026-03-21.zip
2026-03-22,daily,aggTrades,data/futures/um/daily/aggTrades/CFGUSDT/CFGUSDT-aggTrades-2026-03-22.zip
2026-03-22,daily,bookDepth,data/futures/um/daily/bookDepth/CFGUSDT/CFGUSDT-bookDepth-2026-03-22.zip
2026-03-22,daily,metrics,data/futures/um/daily/metrics/CFGUSDT/CFGUSDT-metrics-2026-03-22.zip
