date,interval,data_type,key
2026-04-01,daily,aggTrades,data/futures/um/daily/aggTrades/CLUSDT/CLUSDT-aggTrades-2026-04-01.zip
2026-04-01,daily,bookDepth,data/futures/um/daily/bookDepth/CLUSDT/CLUSDT-bookDepth-2026-04-01.zip
2026-04-01,daily,metrics,data/futures/um/daily/metrics/CLUSDT/CLUSDT-metrics-2026-04-01.zip
2026-04-02,daily,aggTrades,data/futures/um/daily/aggTrades/CLUSDT/CLUSDT-aggTrades-2026-04-02.zip
2026-04-02,daily,bookDepth,data/futures/um/daily/bookDepth/CLUSDT/CLUSDT-bookDepth-2026-04-02.zip
2026-04-02,daily,metrics,data/futures/um/daily/metrics/CLUSDT/CLUSDT-metrics-2026-04-02.zip
2026-04-03,daily,aggTrades,data/futures/um/daily/aggTrades/CLUSDT/CLUSDT-aggTrades-2026-04-03.zip
2026-04-03,daily,bookDepth,data/futures/um/daily/bookDepth/CLUSDT/CLUSDT-bookDepth-2026-04-03.zip
2026-04-03,daily,metrics,data/futures/um/daily/metrics/CLUSDT/CLUSDT-metrics-2026-04-03.zip
2026-04-04,daily,aggTrades,data/futures/um/daily/aggTrades/CLUSDT/CLUSDT-aggTrades-2026-04-04.zip
2026-04-04,daily,bookDepth,data/futures/um/daily/bookDepth/CLUSDT/CLUSDT-bookDepth-2026-04-04.zip
2026-04-04,daily,metrics,data/futures/um/daily/metrics/CLUSDT/CLUSDT-metrics-2026-04-04.zip
2026-04-05,daily,aggTrades,data/futures/um/daily/aggTrades/CLUSDT/CLUSDT-aggTrades-2026-04-05.zip
2026-04-05,daily,bookDepth,data/futures/um/daily/bookDepth/CLUSDT/CLUSDT-bookDepth-2026-04-05.zip
2026-04-05,daily,metrics,data/futures/um/daily/metrics/CLUSDT/CLUSDT-metrics-2026-04-05.zip
2026-04-06,daily,aggTrades,data/futures/um/daily/aggTrades/CLUSDT/CLUSDT-aggTrades-2026-04-06.zip
2026-04-06,daily,bookDepth,data/futures/um/daily/bookDepth/CLUSDT/CLUSDT-bookDepth-2026-04-06.zip
2026-04-06,daily,metrics,data/futures/um/daily/metrics/CLUSDT/CLUSDT-metrics-2026-04-06.zip
