date,interval,data_type,key
2026-03-06,daily,aggTrades,data/futures/um/daily/aggTrades/COPPERUSDT/COPPERUSDT-aggTrades-2026-03-06.zip
2026-03-06,daily,bookDepth,data/futures/um/daily/bookDepth/COPPERUSDT/COPPERUSDT-bookDepth-2026-03-06.zip
2026-03-06,daily,metrics,data/futures/um/daily/metrics/COPPERUSDT/COPPERUSDT-metrics-2026-03-06.zip
2026-03-07,daily,aggTrades,data/futures/um/daily/aggTrades/COPPERUSDT/COPPERUSDT-aggTrades-2026-03-07.zip
2026-03-07,daily,bookDepth,data/futures/um/daily/bookDepth/COPPERUSDT/COPPERUSDT-bookDepth-2026-03-07.zip
2026-03-07,daily,metrics,data/futures/um/daily/metrics/COPPERUSDT/COPPERUSDT-metrics-2026-03-07.zip
2026-03-08,daily,aggTrades,data/futures/um/daily/aggTrades/COPPERUSDT/COPPERUSDT-aggTrades-2026-03-08.zip
2026-03-08,daily,bookDepth,data/futures/um/daily/bookDepth/COPPERUSDT/COPPERUSDT-bookDepth-2026-03-08.zip
2026-03-08,daily,metrics,data/futures/um/daily/metrics/COPPERUSDT/COPPERUSDT-metrics-2026-03-08.zip
2026-03-09,daily,aggTrades,data/futures/um/daily/aggTrades/COPPERUSDT/COPPERUSDT-aggTrades-2026-03-09.zip
2026-03-09,daily,bookDepth,data/futures/um/daily/bookDepth/COPPERUSDT/COPPERUSDT-bookDepth-2026-03-09.zip
2026-03-09,daily,metrics,data/futures/um/daily/metrics/COPPERUSDT/COPPERUSDT-metrics-2026-03-09.zip
2026-03-10,daily,aggTrades,data/futures/um/daily/aggTrades/COPPERUSDT/COPPERUSDT-aggTrades-2026-03-10.zip
2026-03-10,daily,bookDepth,data/futures/um/daily/bookDepth/COPPERUSDT/COPPERUSDT-bookDepth-2026-03-10.zip
2026-03-10,daily,metrics,data/futures/um/daily/metrics/COPPERUSDT/COPPERUSDT-metrics-2026-03-10.zip
2026-03-11,daily,aggTrades,data/futures/um/daily/aggTrades/COPPERUSDT/COPPERUSDT-aggTrades-2026-03-11.zip
2026-03-11,daily,bookDepth,data/futures/um/daily/bookDepth/COPPERUSDT/COPPERUSDT-bookDepth-2026-03-11.zip
2026-03-11,daily,metrics,data/futures/um/daily/metrics/COPPERUSDT/COPPERUSDT-metrics-2026-03-11.zip
