date,interval,data_type,key
2026-08-18,daily,aggTrades,data/futures/um/daily/aggTrades/CXMTUSDT/CXMTUSDT-aggTrades-2026-08-18.zip
2026-08-18,daily,bookDepth,data/futures/um/daily/bookDepth/CXMTUSDT/CXMTUSDT-bookDepth-2026-08-18.zip
2026-08-18,daily,metrics,data/futures/um/daily/metrics/CXMTUSDT/CXMTUSDT-metrics-2026-08-18.zip
2026-08-19,daily,aggTrades,data/futures/um/daily/aggTrades/CXMTUSDT/CXMTUSDT-aggTrades-2026-08-19.zip
2026-08-19,daily,bookDepth,data/futures/um/daily/bookDepth/CXMTUSDT/CXMTUSDT-bookDepth-2026-08-19.zip
2026-08-19,daily,metrics,data/futures/um/daily/metrics/CXMTUSDT/CXMTUSDT-metrics-2026-08-19.zip
2026-08-20,daily,aggTrades,data/futures/um/daily/aggTrades/CXMTUSDT/CXMTUSDT-aggTrades-2026-08-20.zip
2026-08-20,daily,bookDepth,data/futures/um/daily/bookDepth/CXMTUSDT/CXMTUSDT-bookDepth-2026-08-20.zip
2026-08-20,daily,metrics,data/futures/um/daily/metrics/CXMTUSDT/CXMTUSDT-metrics-2026-08-20.zip
2026-08-21,daily,aggTrades,data/futures/um/daily/aggTrades/CXMTUSDT/CXMTUSDT-aggTrades-2026-08-21.zip
2026-08-21,daily,bookDepth,data/futures/um/daily/bookDepth/CXMTUSDT/CXMTUSDT-bookDepth-2026-08-21.zip
2026-08-21,daily,metrics,data/futures/um/daily/metrics/CXMTUSDT/CXMTUSDT-metrics-2026-08-21.zip
2026-08-22,daily,aggTrades,data/futures/um/daily/aggTrades/CXMTUSDT/CXMTUSDT-aggTrades-2026-08-22.zip
2026-08-22,daily,bookDepth,data/futures/um/daily/bookDepth/CXMTUSDT/CXMTUSDT-bookDepth-2026-08-22.zip
2026-08-22,daily,metrics,data/futures/um/daily/metrics/CXMTUSDT/CXMTUSDT-metrics-2026-08-22.zip
2026-08-23,daily,aggTrades,data/futures/um/daily/aggTrades/CXMTUSDT/CXMTUSDT-aggTrades-2026-08-23.zip
2026-08-23,daily,bookDepth,data/futures/um/daily/bookDepth/CXMTUSDT/CXMTUSDT-bookDepth-2026-08-23.zip
2026-08-23,daily,metrics,data/futures/um/daily/metrics/CXMTUSDT/CXMTUSDT-metrics-2026-08-23.zip
2026-08-24,daily,aggTrades,data/futures/um/daily/aggTrades/CXMTUSDT/CXMTUSDT-aggTrades-2026-08-24.zip
2026-08-24,daily,bookDepth,data/futures/um/daily/bookDepth/CXMTUSDT/CXMTUSDT-bookDepth-2026-08-24.zip
2026-08-24,daily,metrics,data/futures/um/daily/metrics/CXMTUSDT/CXMTUSDT-metrics-2026-08-24.zip
2026-08-25,daily,aggTrades,data/futures/um/daily/aggTrades/CXMTUSDT/CXMTUSDT-aggTrades-2026-08-25.zip
2026-08-25,daily,bookDepth,data/futures/um/daily/bookDepth/CXMTUSDT/CXMTUSDT-bookDepth-2026-08-25.zip
2026-08-25,daily,metrics,data/futures/um/daily/metrics/CXMTUSDT/CXMTUSDT-metrics-2026-08-25.zip
2026-08-26,daily,aggTrades,data/futures/um/daily/aggTrades/CXMTUSDT/CXMTUSDT-aggTrades-2026-08-26.zip
2026-08-26,daily,bookDepth,data/futures/um/daily/bookDepth/CXMTUSDT/CXMTUSDT-bookDepth-2026-08-26.zip
2026-08-26,daily,metrics,data/futures/um/daily/metrics/CXMTUSDT/CXMTUSDT-metrics-2026-08-26.zip
2026-08-27,daily,aggTrades,data/futures/um/daily/aggTrades/CXMTUSDT/CXMTUSDT-aggTrades-2026-08-27.zip
2026-08-27,daily,bookDepth,data/futures/um/daily/bookDepth/CXMTUSDT/CXMTUSDT-bookDepth-2026-08-27.zip
2026-08-27,daily,metrics,data/futures/um/daily/metrics/CXMTUSDT/CXMTUSDT-metrics-2026-08-27.zip
2026-08-28,daily,aggTrades,data/futures/um/daily/aggTrades/CXMTUSDT/CXMTUSDT-aggTrades-2026-08-28.zip
2026-08-28,daily,bookDepth,data/futures/um/daily/bookDepth/CXMTUSDT/CXMTUSDT-bookDepth-2026-08-28.zip
2026-08-28,daily,metrics,data/futures/um/daily/metrics/CXMTUSDT/CXMTUSDT-metrics-2026-08-28.zip
2026-08-29,daily,aggTrades,data/futures/um/daily/aggTrades/CXMTUSDT/CXMTUSDT-aggTrades-2026-08-29.zip
2026-08-29,daily,bookDepth,data/futures/um/daily/bookDepth/CXMTUSDT/CXMTUSDT-bookDepth-2026-08-29.zip
2026-08-29,daily,metrics,data/futures/um/daily/metrics/CXMTUSDT/CXMTUSDT-metrics-2026-08-29.zip
2026-08-30,daily,aggTrades,data/futures/um/daily/aggTrades/CXMTUSDT/CXMTUSDT-aggTrades-2026-08-30.zip
2026-08-30,daily,bookDepth,data/futures/um/daily/bookDepth/CXMTUSDT/CXMTUSDT-bookDepth-2026-08-30.zip
2026-08-30,daily,metrics,data/futures/um/daily/metrics/CXMTUSDT/CXMTUSDT-metrics-2026-08-30.zip
