date,interval,data_type,key
2026-08-11,daily,aggTrades,data/futures/um/daily/aggTrades/DOSUSDT/DOSUSDT-aggTrades-2026-08-11.zip
2026-08-11,daily,bookDepth,data/futures/um/daily/bookDepth/DOSUSDT/DOSUSDT-bookDepth-2026-08-11.zip
2026-08-11,daily,metrics,data/futures/um/daily/metrics/DOSUSDT/DOSUSDT-metrics-2026-08-11.zip
2026-08-12,daily,aggTrades,data/futures/um/daily/aggTrades/DOSUSDT/DOSUSDT-aggTrades-2026-08-12.zip
2026-08-12,daily,bookDepth,data/futures/um/daily/bookDepth/DOSUSDT/DOSUSDT-bookDepth-2026-08-12.zip
2026-08-12,daily,metrics,data/futures/um/daily/metrics/DOSUSDT/DOSUSDT-metrics-2026-08-12.zip
2026-08-13,daily,aggTrades,data/futures/um/daily/aggTrades/DOSUSDT/DOSUSDT-aggTrades-2026-08-13.zip
2026-08-13,daily,bookDepth,data/futures/um/daily/bookDepth/DOSUSDT/DOSUSDT-bookDepth-2026-08-13.zip
2026-08-13,daily,metrics,data/futures/um/daily/metrics/DOSUSDT/DOSUSDT-metrics-2026-08-13.zip
2026-08-14,daily,aggTrades,data/futures/um/daily/aggTrades/DOSUSDT/DOSUSDT-aggTrades-2026-08-14.zip
2026-08-14,daily,bookDepth,data/futures/um/daily/bookDepth/DOSUSDT/DOSUSDT-bookDepth-2026-08-14.zip
2026-08-14,daily,metrics,data/futures/um/daily/metrics/DOSUSDT/DOSUSDT-metrics-2026-08-14.zip
