date,interval,data_type,key
2026-03-19,daily,aggTrades,data/futures/um/daily/aggTrades/EDGEUSDT/EDGEUSDT-aggTrades-2026-03-19.zip
2026-03-19,daily,bookDepth,data/futures/um/daily/bookDepth/EDGEUSDT/EDGEUSDT-bookDepth-2026-03-19.zip
2026-03-19,daily,metrics,data/futures/um/daily/metrics/EDGEUSDT/EDGEUSDT-metrics-2026-03-19.zip
2026-03-20,daily,aggTrades,data/futures/um/daily/aggTrades/EDGEUSDT/EDGEUSDT-aggTrades-2026-03-20.zip
2026-03-20,daily,bookDepth,data/futures/um/daily/bookDepth/EDGEUSDT/EDGEUSDT-bookDepth-2026-03-20.zip
2026-03-20,daily,metrics,data/futures/um/daily/metrics/EDGEUSDT/EDGEUSDT-metrics-2026-03-20.zip
2026-03-21,daily,aggTrades,data/futures/um/daily/aggTrades/EDGEUSDT/EDGEUSDT-aggTrades-2026-03-21.zip
2026-03-21,daily,bookDepth,data/futures/um/daily/bookDepth/EDGEUSDT/EDGEUSDT-bookDepth-2026-03-21.zip
2026-03-21,daily,metrics,data/futures/um/daily/metrics/EDGEUSDT/EDGEUSDT-metrics-2026-03-21.zip
2026-03-22,daily,aggTrades,data/futures/um/daily/aggTrades/EDGEUSDT/EDGEUSDT-aggTrades-2026-03-22.zip
2026-03-22,daily,bookDepth,data/futures/um/daily/bookDepth/EDGEUSDT/EDGEUSDT-bookDepth-2026-03-22.zip
2026-03-22,daily,metrics,data/futures/um/daily/metrics/EDGEUSDT/EDGEUSDT-metrics-2026-03-22.zip
2026-03-23,daily,aggTrades,data/futures/um/daily/aggTrades/EDGEUSDT/EDGEUSDT-aggTrades-2026-03-23.zip
2026-03-23,daily,bookDepth,data/futures/um/daily/bookDepth/EDGEUSDT/EDGEUSDT-bookDepth-2026-03-23.zip
2026-03-23,daily,metrics,data/futures/um/daily/metrics/EDGEUSDT/EDGEUSDT-metrics-2026-03-23.zip
