date,interval,data_type,key
2026-06-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/ETHUSDT_261225/ETHUSDT_261225-aggTrades-2026-06.zip
2026-06-01,monthly,trades,data/futures/um/monthly/trades/ETHUSDT_261225/ETHUSDT_261225-trades-2026-06.zip
2026-06-26,daily,aggTrades,data/futures/um/daily/aggTrades/ETHUSDT_261225/ETHUSDT_261225-aggTrades-2026-06-26.zip
2026-06-26,daily,bookDepth,data/futures/um/daily/bookDepth/ETHUSDT_261225/ETHUSDT_261225-bookDepth-2026-06-26.zip
2026-06-26,daily,metrics,data/futures/um/daily/metrics/ETHUSDT_261225/ETHUSDT_261225-metrics-2026-06-26.zip
2026-06-27,daily,aggTrades,data/futures/um/daily/aggTrades/ETHUSDT_261225/ETHUSDT_261225-aggTrades-2026-06-27.zip
2026-06-27,daily,bookDepth,data/futures/um/daily/bookDepth/ETHUSDT_261225/ETHUSDT_261225-bookDepth-2026-06-27.zip
2026-06-27,daily,metrics,data/futures/um/daily/metrics/ETHUSDT_261225/ETHUSDT_261225-metrics-2026-06-27.zip
2026-06-28,daily,aggTrades,data/futures/um/daily/aggTrades/ETHUSDT_261225/ETHUSDT_261225-aggTrades-2026-06-28.zip
2026-06-28,daily,bookDepth,data/futures/um/daily/bookDepth/ETHUSDT_261225/ETHUSDT_261225-bookDepth-2026-06-28.zip
2026-06-28,daily,metrics,data/futures/um/daily/metrics/ETHUSDT_261225/ETHUSDT_261225-metrics-2026-06-28.zip
2026-06-29,daily,aggTrades,data/futures/um/daily/aggTrades/ETHUSDT_261225/ETHUSDT_261225-aggTrades-2026-06-29.zip
2026-06-29,daily,bookDepth,data/futures/um/daily/bookDepth/ETHUSDT_261225/ETHUSDT_261225-bookDepth-2026-06-29.zip
2026-06-29,daily,metrics,data/futures/um/daily/metrics/ETHUSDT_261225/ETHUSDT_261225-metrics-2026-06-29.zip
2026-06-30,daily,aggTrades,data/futures/um/daily/aggTrades/ETHUSDT_261225/ETHUSDT_261225-aggTrades-2026-06-30.zip
2026-06-30,daily,bookDepth,data/futures/um/daily/bookDepth/ETHUSDT_261225/ETHUSDT_261225-bookDepth-2026-06-30.zip
2026-06-30,daily,metrics,data/futures/um/daily/metrics/ETHUSDT_261225/ETHUSDT_261225-metrics-2026-06-30.zip
2026-07-01,daily,aggTrades,data/futures/um/daily/aggTrades/ETHUSDT_261225/ETHUSDT_261225-aggTrades-2026-07-01.zip
2026-07-01,daily,bookDepth,data/futures/um/daily/bookDepth/ETHUSDT_261225/ETHUSDT_261225-bookDepth-2026-07-01.zip
2026-07-01,daily,metrics,data/futures/um/daily/metrics/ETHUSDT_261225/ETHUSDT_261225-metrics-2026-07-01.zip
