date,interval,data_type,key
2026-01-10,daily,aggTrades,data/futures/um/daily/aggTrades/FOGOUSDT/FOGOUSDT-aggTrades-2026-01-10.zip
2026-01-10,daily,bookDepth,data/futures/um/daily/bookDepth/FOGOUSDT/FOGOUSDT-bookDepth-2026-01-10.zip
2026-01-10,daily,metrics,data/futures/um/daily/metrics/FOGOUSDT/FOGOUSDT-metrics-2026-01-10.zip
2026-01-11,daily,aggTrades,data/futures/um/daily/aggTrades/FOGOUSDT/FOGOUSDT-aggTrades-2026-01-11.zip
2026-01-11,daily,bookDepth,data/futures/um/daily/bookDepth/FOGOUSDT/FOGOUSDT-bookDepth-2026-01-11.zip
2026-01-11,daily,metrics,data/futures/um/daily/metrics/FOGOUSDT/FOGOUSDT-metrics-2026-01-11.zip
2026-01-12,daily,aggTrades,data/futures/um/daily/aggTrades/FOGOUSDT/FOGOUSDT-aggTrades-2026-01-12.zip
2026-01-12,daily,bookDepth,data/futures/um/daily/bookDepth/FOGOUSDT/FOGOUSDT-bookDepth-2026-01-12.zip
2026-01-12,daily,metrics,data/futures/um/daily/metrics/FOGOUSDT/FOGOUSDT-metrics-2026-01-12.zip
2026-01-13,daily,aggTrades,data/futures/um/daily/aggTrades/FOGOUSDT/FOGOUSDT-aggTrades-2026-01-13.zip
2026-01-13,daily,bookDepth,data/futures/um/daily/bookDepth/FOGOUSDT/FOGOUSDT-bookDepth-2026-01-13.zip
2026-01-13,daily,metrics,data/futures/um/daily/metrics/FOGOUSDT/FOGOUSDT-metrics-2026-01-13.zip
2026-01-14,daily,aggTrades,data/futures/um/daily/aggTrades/FOGOUSDT/FOGOUSDT-aggTrades-2026-01-14.zip
2026-01-14,daily,metrics,data/futures/um/daily/metrics/FOGOUSDT/FOGOUSDT-metrics-2026-01-14.zip
2026-01-15,daily,aggTrades,data/futures/um/daily/aggTrades/FOGOUSDT/FOGOUSDT-aggTrades-2026-01-15.zip
2026-01-15,daily,bookDepth,data/futures/um/daily/bookDepth/FOGOUSDT/FOGOUSDT-bookDepth-2026-01-15.zip
2026-01-15,daily,metrics,data/futures/um/daily/metrics/FOGOUSDT/FOGOUSDT-metrics-2026-01-15.zip
2026-01-16,daily,aggTrades,data/futures/um/daily/aggTrades/FOGOUSDT/FOGOUSDT-aggTrades-2026-01-16.zip
2026-01-16,daily,bookDepth,data/futures/um/daily/bookDepth/FOGOUSDT/FOGOUSDT-bookDepth-2026-01-16.zip
2026-01-16,daily,metrics,data/futures/um/daily/metrics/FOGOUSDT/FOGOUSDT-metrics-2026-01-16.zip
2026-01-17,daily,aggTrades,data/futures/um/daily/aggTrades/FOGOUSDT/FOGOUSDT-aggTrades-2026-01-17.zip
2026-01-17,daily,bookDepth,data/futures/um/daily/bookDepth/FOGOUSDT/FOGOUSDT-bookDepth-2026-01-17.zip
2026-01-17,daily,metrics,data/futures/um/daily/metrics/FOGOUSDT/FOGOUSDT-metrics-2026-01-17.zip
2026-01-18,daily,aggTrades,data/futures/um/daily/aggTrades/FOGOUSDT/FOGOUSDT-aggTrades-2026-01-18.zip
2026-01-18,daily,bookDepth,data/futures/um/daily/bookDepth/FOGOUSDT/FOGOUSDT-bookDepth-2026-01-18.zip
2026-01-18,daily,metrics,data/futures/um/daily/metrics/FOGOUSDT/FOGOUSDT-metrics-2026-01-18.zip
2026-01-19,daily,aggTrades,data/futures/um/daily/aggTrades/FOGOUSDT/FOGOUSDT-aggTrades-2026-01-19.zip
2026-01-19,daily,bookDepth,data/futures/um/daily/bookDepth/FOGOUSDT/FOGOUSDT-bookDepth-2026-01-19.zip
2026-01-19,daily,metrics,data/futures/um/daily/metrics/FOGOUSDT/FOGOUSDT-metrics-2026-01-19.zip
2026-01-20,daily,aggTrades,data/futures/um/daily/aggTrades/FOGOUSDT/FOGOUSDT-aggTrades-2026-01-20.zip
2026-01-20,daily,bookDepth,data/futures/um/daily/bookDepth/FOGOUSDT/FOGOUSDT-bookDepth-2026-01-20.zip
2026-01-20,daily,metrics,data/futures/um/daily/metrics/FOGOUSDT/FOGOUSDT-metrics-2026-01-20.zip
2026-01-21,daily,aggTrades,data/futures/um/daily/aggTrades/FOGOUSDT/FOGOUSDT-aggTrades-2026-01-21.zip
2026-01-21,daily,bookDepth,data/futures/um/daily/bookDepth/FOGOUSDT/FOGOUSDT-bookDepth-2026-01-21.zip
2026-01-21,daily,metrics,data/futures/um/daily/metrics/FOGOUSDT/FOGOUSDT-metrics-2026-01-21.zip
2026-01-22,daily,aggTrades,data/futures/um/daily/aggTrades/FOGOUSDT/FOGOUSDT-aggTrades-2026-01-22.zip
2026-01-22,daily,bookDepth,data/futures/um/daily/bookDepth/FOGOUSDT/FOGOUSDT-bookDepth-2026-01-22.zip
2026-01-22,daily,metrics,data/futures/um/daily/metrics/FOGOUSDT/FOGOUSDT-metrics-2026-01-22.zip
2026-01-23,daily,aggTrades,data/futures/um/daily/aggTrades/FOGOUSDT/FOGOUSDT-aggTrades-2026-01-23.zip
