date,interval,data_type,key
2025-12-21,daily,aggTrades,data/futures/um/daily/aggTrades/GUAUSDT/GUAUSDT-aggTrades-2025-12-21.zip
2025-12-21,daily,bookDepth,data/futures/um/daily/bookDepth/GUAUSDT/GUAUSDT-bookDepth-2025-12-21.zip
2025-12-21,daily,metrics,data/futures/um/daily/metrics/GUAUSDT/GUAUSDT-metrics-2025-12-21.zip
2025-12-22,daily,aggTrades,data/futures/um/daily/aggTrades/GUAUSDT/GUAUSDT-aggTrades-2025-12-22.zip
2025-12-22,daily,bookDepth,data/futures/um/daily/bookDepth/GUAUSDT/GUAUSDT-bookDepth-2025-12-22.zip
2025-12-22,daily,metrics,data/futures/um/daily/metrics/GUAUSDT/GUAUSDT-metrics-2025-12-22.zip
2025-12-23,daily,aggTrades,data/futures/um/daily/aggTrades/GUAUSDT/GUAUSDT-aggTrades-2025-12-23.zip
2025-12-23,daily,bookDepth,data/futures/um/daily/bookDepth/GUAUSDT/GUAUSDT-bookDepth-2025-12-23.zip
2025-12-23,daily,metrics,data/futures/um/daily/metrics/GUAUSDT/GUAUSDT-metrics-2025-12-23.zip
2025-12-24,daily,aggTrades,data/futures/um/daily/aggTrades/GUAUSDT/GUAUSDT-aggTrades-2025-12-24.zip
2025-12-24,daily,bookDepth,data/futures/um/daily/bookDepth/GUAUSDT/GUAUSDT-bookDepth-2025-12-24.zip
2025-12-24,daily,metrics,data/futures/um/daily/metrics/GUAUSDT/GUAUSDT-metrics-2025-12-24.zip
