date,interval,data_type,key
2026-06-08,daily,aggTrades,data/futures/um/daily/aggTrades/HPEUSDT/HPEUSDT-aggTrades-2026-06-08.zip
2026-06-08,daily,bookDepth,data/futures/um/daily/bookDepth/HPEUSDT/HPEUSDT-bookDepth-2026-06-08.zip
2026-06-08,daily,metrics,data/futures/um/daily/metrics/HPEUSDT/HPEUSDT-metrics-2026-06-08.zip
2026-06-09,daily,aggTrades,data/futures/um/daily/aggTrades/HPEUSDT/HPEUSDT-aggTrades-2026-06-09.zip
2026-06-09,daily,bookDepth,data/futures/um/daily/bookDepth/HPEUSDT/HPEUSDT-bookDepth-2026-06-09.zip
2026-06-09,daily,metrics,data/futures/um/daily/metrics/HPEUSDT/HPEUSDT-metrics-2026-06-09.zip
2026-06-10,daily,aggTrades,data/futures/um/daily/aggTrades/HPEUSDT/HPEUSDT-aggTrades-2026-06-10.zip
2026-06-10,daily,bookDepth,data/futures/um/daily/bookDepth/HPEUSDT/HPEUSDT-bookDepth-2026-06-10.zip
2026-06-10,daily,metrics,data/futures/um/daily/metrics/HPEUSDT/HPEUSDT-metrics-2026-06-10.zip
2026-06-11,daily,aggTrades,data/futures/um/daily/aggTrades/HPEUSDT/HPEUSDT-aggTrades-2026-06-11.zip
2026-06-11,daily,bookDepth,data/futures/um/daily/bookDepth/HPEUSDT/HPEUSDT-bookDepth-2026-06-11.zip
2026-06-11,daily,metrics,data/futures/um/daily/metrics/HPEUSDT/HPEUSDT-metrics-2026-06-11.zip
2026-06-12,daily,aggTrades,data/futures/um/daily/aggTrades/HPEUSDT/HPEUSDT-aggTrades-2026-06-12.zip
2026-06-12,daily,bookDepth,data/futures/um/daily/bookDepth/HPEUSDT/HPEUSDT-bookDepth-2026-06-12.zip
2026-06-12,daily,metrics,data/futures/um/daily/metrics/HPEUSDT/HPEUSDT-metrics-2026-06-12.zip
2026-06-13,daily,aggTrades,data/futures/um/daily/aggTrades/HPEUSDT/HPEUSDT-aggTrades-2026-06-13.zip
2026-06-13,daily,bookDepth,data/futures/um/daily/bookDepth/HPEUSDT/HPEUSDT-bookDepth-2026-06-13.zip
2026-06-13,daily,metrics,data/futures/um/daily/metrics/HPEUSDT/HPEUSDT-metrics-2026-06-13.zip
2026-06-14,daily,aggTrades,data/futures/um/daily/aggTrades/HPEUSDT/HPEUSDT-aggTrades-2026-06-14.zip
2026-06-14,daily,bookDepth,data/futures/um/daily/bookDepth/HPEUSDT/HPEUSDT-bookDepth-2026-06-14.zip
2026-06-14,daily,metrics,data/futures/um/daily/metrics/HPEUSDT/HPEUSDT-metrics-2026-06-14.zip
2026-06-15,daily,aggTrades,data/futures/um/daily/aggTrades/HPEUSDT/HPEUSDT-aggTrades-2026-06-15.zip
2026-06-15,daily,bookDepth,data/futures/um/daily/bookDepth/HPEUSDT/HPEUSDT-bookDepth-2026-06-15.zip
2026-06-15,daily,metrics,data/futures/um/daily/metrics/HPEUSDT/HPEUSDT-metrics-2026-06-15.zip
