date,interval,data_type,key
2025-11-10,daily,aggTrades,data/futures/um/daily/aggTrades/JCTUSDT/JCTUSDT-aggTrades-2025-11-10.zip
2025-11-10,daily,bookDepth,data/futures/um/daily/bookDepth/JCTUSDT/JCTUSDT-bookDepth-2025-11-10.zip
2025-11-10,daily,metrics,data/futures/um/daily/metrics/JCTUSDT/JCTUSDT-metrics-2025-11-10.zip
2025-11-11,daily,aggTrades,data/futures/um/daily/aggTrades/JCTUSDT/JCTUSDT-aggTrades-2025-11-11.zip
2025-11-11,daily,bookDepth,data/futures/um/daily/bookDepth/JCTUSDT/JCTUSDT-bookDepth-2025-11-11.zip
2025-11-11,daily,metrics,data/futures/um/daily/metrics/JCTUSDT/JCTUSDT-metrics-2025-11-11.zip
2025-11-12,daily,aggTrades,data/futures/um/daily/aggTrades/JCTUSDT/JCTUSDT-aggTrades-2025-11-12.zip
2025-11-12,daily,bookDepth,data/futures/um/daily/bookDepth/JCTUSDT/JCTUSDT-bookDepth-2025-11-12.zip
2025-11-12,daily,metrics,data/futures/um/daily/metrics/JCTUSDT/JCTUSDT-metrics-2025-11-12.zip
2025-11-13,daily,aggTrades,data/futures/um/daily/aggTrades/JCTUSDT/JCTUSDT-aggTrades-2025-11-13.zip
2025-11-13,daily,bookDepth,data/futures/um/daily/bookDepth/JCTUSDT/JCTUSDT-bookDepth-2025-11-13.zip
2025-11-13,daily,metrics,data/futures/um/daily/metrics/JCTUSDT/JCTUSDT-metrics-2025-11-13.zip
2025-11-14,daily,aggTrades,data/futures/um/daily/aggTrades/JCTUSDT/JCTUSDT-aggTrades-2025-11-14.zip
2025-11-14,daily,bookDepth,data/futures/um/daily/bookDepth/JCTUSDT/JCTUSDT-bookDepth-2025-11-14.zip
2025-11-14,daily,metrics,data/futures/um/daily/metrics/JCTUSDT/JCTUSDT-metrics-2025-11-14.zip
2025-11-15,daily,aggTrades,data/futures/um/daily/aggTrades/JCTUSDT/JCTUSDT-aggTrades-2025-11-15.zip
2025-11-15,daily,bookDepth,data/futures/um/daily/bookDepth/JCTUSDT/JCTUSDT-bookDepth-2025-11-15.zip
2025-11-15,daily,metrics,data/futures/um/daily/metrics/JCTUSDT/JCTUSDT-metrics-2025-11-15.zip
2025-11-16,daily,aggTrades,data/futures/um/daily/aggTrades/JCTUSDT/JCTUSDT-aggTrades-2025-11-16.zip
2025-11-16,daily,bookDepth,data/futures/um/daily/bookDepth/JCTUSDT/JCTUSDT-bookDepth-2025-11-16.zip
2025-11-16,daily,metrics,data/futures/um/daily/metrics/JCTUSDT/JCTUSDT-metrics-2025-11-16.zip
