date,interval,data_type,key
2026-06-22,daily,aggTrades,data/futures/um/daily/aggTrades/LRCXUSDT/LRCXUSDT-aggTrades-2026-06-22.zip
2026-06-22,daily,bookDepth,data/futures/um/daily/bookDepth/LRCXUSDT/LRCXUSDT-bookDepth-2026-06-22.zip
2026-06-22,daily,metrics,data/futures/um/daily/metrics/LRCXUSDT/LRCXUSDT-metrics-2026-06-22.zip
2026-06-23,daily,aggTrades,data/futures/um/daily/aggTrades/LRCXUSDT/LRCXUSDT-aggTrades-2026-06-23.zip
2026-06-23,daily,bookDepth,data/futures/um/daily/bookDepth/LRCXUSDT/LRCXUSDT-bookDepth-2026-06-23.zip
2026-06-23,daily,metrics,data/futures/um/daily/metrics/LRCXUSDT/LRCXUSDT-metrics-2026-06-23.zip
2026-06-24,daily,aggTrades,data/futures/um/daily/aggTrades/LRCXUSDT/LRCXUSDT-aggTrades-2026-06-24.zip
2026-06-24,daily,bookDepth,data/futures/um/daily/bookDepth/LRCXUSDT/LRCXUSDT-bookDepth-2026-06-24.zip
2026-06-24,daily,metrics,data/futures/um/daily/metrics/LRCXUSDT/LRCXUSDT-metrics-2026-06-24.zip
2026-06-25,daily,aggTrades,data/futures/um/daily/aggTrades/LRCXUSDT/LRCXUSDT-aggTrades-2026-06-25.zip
2026-06-25,daily,bookDepth,data/futures/um/daily/bookDepth/LRCXUSDT/LRCXUSDT-bookDepth-2026-06-25.zip
2026-06-25,daily,metrics,data/futures/um/daily/metrics/LRCXUSDT/LRCXUSDT-metrics-2026-06-25.zip
2026-06-26,daily,aggTrades,data/futures/um/daily/aggTrades/LRCXUSDT/LRCXUSDT-aggTrades-2026-06-26.zip
2026-06-26,daily,bookDepth,data/futures/um/daily/bookDepth/LRCXUSDT/LRCXUSDT-bookDepth-2026-06-26.zip
2026-06-26,daily,metrics,data/futures/um/daily/metrics/LRCXUSDT/LRCXUSDT-metrics-2026-06-26.zip
2026-06-27,daily,aggTrades,data/futures/um/daily/aggTrades/LRCXUSDT/LRCXUSDT-aggTrades-2026-06-27.zip
2026-06-27,daily,bookDepth,data/futures/um/daily/bookDepth/LRCXUSDT/LRCXUSDT-bookDepth-2026-06-27.zip
2026-06-27,daily,metrics,data/futures/um/daily/metrics/LRCXUSDT/LRCXUSDT-metrics-2026-06-27.zip
2026-06-28,daily,aggTrades,data/futures/um/daily/aggTrades/LRCXUSDT/LRCXUSDT-aggTrades-2026-06-28.zip
2026-06-28,daily,bookDepth,data/futures/um/daily/bookDepth/LRCXUSDT/LRCXUSDT-bookDepth-2026-06-28.zip
2026-06-28,daily,metrics,data/futures/um/daily/metrics/LRCXUSDT/LRCXUSDT-metrics-2026-06-28.zip
2026-06-29,daily,aggTrades,data/futures/um/daily/aggTrades/LRCXUSDT/LRCXUSDT-aggTrades-2026-06-29.zip
2026-06-29,daily,bookDepth,data/futures/um/daily/bookDepth/LRCXUSDT/LRCXUSDT-bookDepth-2026-06-29.zip
2026-06-29,daily,metrics,data/futures/um/daily/metrics/LRCXUSDT/LRCXUSDT-metrics-2026-06-29.zip
