date,interval,data_type,key
2026-09-01,daily,aggTrades,data/futures/um/daily/aggTrades/MARSCOINUSDT/MARSCOINUSDT-aggTrades-2026-09-01.zip
2026-09-01,daily,bookDepth,data/futures/um/daily/bookDepth/MARSCOINUSDT/MARSCOINUSDT-bookDepth-2026-09-01.zip
2026-09-01,daily,metrics,data/futures/um/daily/metrics/MARSCOINUSDT/MARSCOINUSDT-metrics-2026-09-01.zip
2026-09-02,daily,aggTrades,data/futures/um/daily/aggTrades/MARSCOINUSDT/MARSCOINUSDT-aggTrades-2026-09-02.zip
2026-09-02,daily,bookDepth,data/futures/um/daily/bookDepth/MARSCOINUSDT/MARSCOINUSDT-bookDepth-2026-09-02.zip
2026-09-02,daily,metrics,data/futures/um/daily/metrics/MARSCOINUSDT/MARSCOINUSDT-metrics-2026-09-02.zip
2026-09-03,daily,aggTrades,data/futures/um/daily/aggTrades/MARSCOINUSDT/MARSCOINUSDT-aggTrades-2026-09-03.zip
2026-09-03,daily,bookDepth,data/futures/um/daily/bookDepth/MARSCOINUSDT/MARSCOINUSDT-bookDepth-2026-09-03.zip
2026-09-03,daily,metrics,data/futures/um/daily/metrics/MARSCOINUSDT/MARSCOINUSDT-metrics-2026-09-03.zip
2026-09-04,daily,aggTrades,data/futures/um/daily/aggTrades/MARSCOINUSDT/MARSCOINUSDT-aggTrades-2026-09-04.zip
2026-09-04,daily,bookDepth,data/futures/um/daily/bookDepth/MARSCOINUSDT/MARSCOINUSDT-bookDepth-2026-09-04.zip
2026-09-04,daily,metrics,data/futures/um/daily/metrics/MARSCOINUSDT/MARSCOINUSDT-metrics-2026-09-04.zip
