date,interval,data_type,key
2025-11-04,daily,aggTrades,data/futures/um/daily/aggTrades/MMTUSDT/MMTUSDT-aggTrades-2025-11-04.zip
2025-11-04,daily,bookDepth,data/futures/um/daily/bookDepth/MMTUSDT/MMTUSDT-bookDepth-2025-11-04.zip
2025-11-04,daily,metrics,data/futures/um/daily/metrics/MMTUSDT/MMTUSDT-metrics-2025-11-04.zip
2025-11-05,daily,aggTrades,data/futures/um/daily/aggTrades/MMTUSDT/MMTUSDT-aggTrades-2025-11-05.zip
2025-11-05,daily,bookDepth,data/futures/um/daily/bookDepth/MMTUSDT/MMTUSDT-bookDepth-2025-11-05.zip
2025-11-05,daily,metrics,data/futures/um/daily/metrics/MMTUSDT/MMTUSDT-metrics-2025-11-05.zip
2025-11-06,daily,aggTrades,data/futures/um/daily/aggTrades/MMTUSDT/MMTUSDT-aggTrades-2025-11-06.zip
2025-11-06,daily,bookDepth,data/futures/um/daily/bookDepth/MMTUSDT/MMTUSDT-bookDepth-2025-11-06.zip
2025-11-06,daily,metrics,data/futures/um/daily/metrics/MMTUSDT/MMTUSDT-metrics-2025-11-06.zip
2025-11-07,daily,aggTrades,data/futures/um/daily/aggTrades/MMTUSDT/MMTUSDT-aggTrades-2025-11-07.zip
2025-11-07,daily,bookDepth,data/futures/um/daily/bookDepth/MMTUSDT/MMTUSDT-bookDepth-2025-11-07.zip
2025-11-07,daily,metrics,data/futures/um/daily/metrics/MMTUSDT/MMTUSDT-metrics-2025-11-07.zip
