date,interval,data_type,key
2026-08-25,daily,aggTrades,data/futures/um/daily/aggTrades/MRNAUSDT/MRNAUSDT-aggTrades-2026-08-25.zip
2026-08-25,daily,bookDepth,data/futures/um/daily/bookDepth/MRNAUSDT/MRNAUSDT-bookDepth-2026-08-25.zip
2026-08-25,daily,metrics,data/futures/um/daily/metrics/MRNAUSDT/MRNAUSDT-metrics-2026-08-25.zip
2026-08-26,daily,aggTrades,data/futures/um/daily/aggTrades/MRNAUSDT/MRNAUSDT-aggTrades-2026-08-26.zip
2026-08-26,daily,bookDepth,data/futures/um/daily/bookDepth/MRNAUSDT/MRNAUSDT-bookDepth-2026-08-26.zip
2026-08-26,daily,metrics,data/futures/um/daily/metrics/MRNAUSDT/MRNAUSDT-metrics-2026-08-26.zip
2026-08-27,daily,aggTrades,data/futures/um/daily/aggTrades/MRNAUSDT/MRNAUSDT-aggTrades-2026-08-27.zip
2026-08-27,daily,bookDepth,data/futures/um/daily/bookDepth/MRNAUSDT/MRNAUSDT-bookDepth-2026-08-27.zip
2026-08-27,daily,metrics,data/futures/um/daily/metrics/MRNAUSDT/MRNAUSDT-metrics-2026-08-27.zip
2026-08-28,daily,aggTrades,data/futures/um/daily/aggTrades/MRNAUSDT/MRNAUSDT-aggTrades-2026-08-28.zip
2026-08-28,daily,bookDepth,data/futures/um/daily/bookDepth/MRNAUSDT/MRNAUSDT-bookDepth-2026-08-28.zip
2026-08-28,daily,metrics,data/futures/um/daily/metrics/MRNAUSDT/MRNAUSDT-metrics-2026-08-28.zip
