date,interval,data_type,key
2026-04-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/MSFTUSDT/MSFTUSDT-aggTrades-2026-04.zip
2026-04-01,monthly,trades,data/futures/um/monthly/trades/MSFTUSDT/MSFTUSDT-trades-2026-04.zip
2026-04-20,daily,aggTrades,data/futures/um/daily/aggTrades/MSFTUSDT/MSFTUSDT-aggTrades-2026-04-20.zip
2026-04-20,daily,bookDepth,data/futures/um/daily/bookDepth/MSFTUSDT/MSFTUSDT-bookDepth-2026-04-20.zip
2026-04-20,daily,metrics,data/futures/um/daily/metrics/MSFTUSDT/MSFTUSDT-metrics-2026-04-20.zip
2026-04-21,daily,aggTrades,data/futures/um/daily/aggTrades/MSFTUSDT/MSFTUSDT-aggTrades-2026-04-21.zip
2026-04-21,daily,bookDepth,data/futures/um/daily/bookDepth/MSFTUSDT/MSFTUSDT-bookDepth-2026-04-21.zip
2026-04-21,daily,metrics,data/futures/um/daily/metrics/MSFTUSDT/MSFTUSDT-metrics-2026-04-21.zip
2026-04-22,daily,aggTrades,data/futures/um/daily/aggTrades/MSFTUSDT/MSFTUSDT-aggTrades-2026-04-22.zip
2026-04-22,daily,bookDepth,data/futures/um/daily/bookDepth/MSFTUSDT/MSFTUSDT-bookDepth-2026-04-22.zip
2026-04-22,daily,metrics,data/futures/um/daily/metrics/MSFTUSDT/MSFTUSDT-metrics-2026-04-22.zip
2026-04-23,daily,aggTrades,data/futures/um/daily/aggTrades/MSFTUSDT/MSFTUSDT-aggTrades-2026-04-23.zip
2026-04-23,daily,bookDepth,data/futures/um/daily/bookDepth/MSFTUSDT/MSFTUSDT-bookDepth-2026-04-23.zip
2026-04-23,daily,metrics,data/futures/um/daily/metrics/MSFTUSDT/MSFTUSDT-metrics-2026-04-23.zip
2026-04-24,daily,aggTrades,data/futures/um/daily/aggTrades/MSFTUSDT/MSFTUSDT-aggTrades-2026-04-24.zip
2026-04-24,daily,bookDepth,data/futures/um/daily/bookDepth/MSFTUSDT/MSFTUSDT-bookDepth-2026-04-24.zip
2026-04-24,daily,metrics,data/futures/um/daily/metrics/MSFTUSDT/MSFTUSDT-metrics-2026-04-24.zip
2026-04-25,daily,aggTrades,data/futures/um/daily/aggTrades/MSFTUSDT/MSFTUSDT-aggTrades-2026-04-25.zip
2026-04-25,daily,bookDepth,data/futures/um/daily/bookDepth/MSFTUSDT/MSFTUSDT-bookDepth-2026-04-25.zip
2026-04-25,daily,metrics,data/futures/um/daily/metrics/MSFTUSDT/MSFTUSDT-metrics-2026-04-25.zip
2026-04-26,daily,aggTrades,data/futures/um/daily/aggTrades/MSFTUSDT/MSFTUSDT-aggTrades-2026-04-26.zip
2026-04-26,daily,bookDepth,data/futures/um/daily/bookDepth/MSFTUSDT/MSFTUSDT-bookDepth-2026-04-26.zip
2026-04-26,daily,metrics,data/futures/um/daily/metrics/MSFTUSDT/MSFTUSDT-metrics-2026-04-26.zip
2026-04-27,daily,aggTrades,data/futures/um/daily/aggTrades/MSFTUSDT/MSFTUSDT-aggTrades-2026-04-27.zip
2026-04-27,daily,bookDepth,data/futures/um/daily/bookDepth/MSFTUSDT/MSFTUSDT-bookDepth-2026-04-27.zip
2026-04-27,daily,metrics,data/futures/um/daily/metrics/MSFTUSDT/MSFTUSDT-metrics-2026-04-27.zip
2026-04-28,daily,aggTrades,data/futures/um/daily/aggTrades/MSFTUSDT/MSFTUSDT-aggTrades-2026-04-28.zip
2026-04-28,daily,bookDepth,data/futures/um/daily/bookDepth/MSFTUSDT/MSFTUSDT-bookDepth-2026-04-28.zip
2026-04-28,daily,metrics,data/futures/um/daily/metrics/MSFTUSDT/MSFTUSDT-metrics-2026-04-28.zip
2026-04-29,daily,aggTrades,data/futures/um/daily/aggTrades/MSFTUSDT/MSFTUSDT-aggTrades-2026-04-29.zip
2026-04-29,daily,bookDepth,data/futures/um/daily/bookDepth/MSFTUSDT/MSFTUSDT-bookDepth-2026-04-29.zip
2026-04-29,daily,metrics,data/futures/um/daily/metrics/MSFTUSDT/MSFTUSDT-metrics-2026-04-29.zip
2026-04-30,daily,aggTrades,data/futures/um/daily/aggTrades/MSFTUSDT/MSFTUSDT-aggTrades-2026-04-30.zip
2026-04-30,daily,bookDepth,data/futures/um/daily/bookDepth/MSFTUSDT/MSFTUSDT-bookDepth-2026-04-30.zip
2026-04-30,daily,metrics,data/futures/um/daily/metrics/MSFTUSDT/MSFTUSDT-metrics-2026-04-30.zip
2026-05-01,daily,aggTrades,data/futures/um/daily/aggTrades/MSFTUSDT/MSFTUSDT-aggTrades-2026-05-01.zip
2026-05-01,daily,bookDepth,data/futures/um/daily/bookDepth/MSFTUSDT/MSFTUSDT-bookDepth-2026-05-01.zip
2026-05-01,daily,metrics,data/futures/um/daily/metrics/MSFTUSDT/MSFTUSDT-metrics-2026-05-01.zip
