date,interval,data_type,key
2026-02-09,daily,aggTrades,data/futures/um/daily/aggTrades/MSTRUSDT/MSTRUSDT-aggTrades-2026-02-09.zip
2026-02-09,daily,bookDepth,data/futures/um/daily/bookDepth/MSTRUSDT/MSTRUSDT-bookDepth-2026-02-09.zip
2026-02-09,daily,metrics,data/futures/um/daily/metrics/MSTRUSDT/MSTRUSDT-metrics-2026-02-09.zip
2026-02-10,daily,aggTrades,data/futures/um/daily/aggTrades/MSTRUSDT/MSTRUSDT-aggTrades-2026-02-10.zip
2026-02-10,daily,bookDepth,data/futures/um/daily/bookDepth/MSTRUSDT/MSTRUSDT-bookDepth-2026-02-10.zip
2026-02-10,daily,metrics,data/futures/um/daily/metrics/MSTRUSDT/MSTRUSDT-metrics-2026-02-10.zip
2026-02-11,daily,aggTrades,data/futures/um/daily/aggTrades/MSTRUSDT/MSTRUSDT-aggTrades-2026-02-11.zip
2026-02-11,daily,bookDepth,data/futures/um/daily/bookDepth/MSTRUSDT/MSTRUSDT-bookDepth-2026-02-11.zip
2026-02-11,daily,metrics,data/futures/um/daily/metrics/MSTRUSDT/MSTRUSDT-metrics-2026-02-11.zip
2026-02-12,daily,aggTrades,data/futures/um/daily/aggTrades/MSTRUSDT/MSTRUSDT-aggTrades-2026-02-12.zip
2026-02-12,daily,bookDepth,data/futures/um/daily/bookDepth/MSTRUSDT/MSTRUSDT-bookDepth-2026-02-12.zip
2026-02-12,daily,metrics,data/futures/um/daily/metrics/MSTRUSDT/MSTRUSDT-metrics-2026-02-12.zip
2026-02-13,daily,aggTrades,data/futures/um/daily/aggTrades/MSTRUSDT/MSTRUSDT-aggTrades-2026-02-13.zip
2026-02-13,daily,bookDepth,data/futures/um/daily/bookDepth/MSTRUSDT/MSTRUSDT-bookDepth-2026-02-13.zip
2026-02-13,daily,metrics,data/futures/um/daily/metrics/MSTRUSDT/MSTRUSDT-metrics-2026-02-13.zip
2026-02-14,daily,aggTrades,data/futures/um/daily/aggTrades/MSTRUSDT/MSTRUSDT-aggTrades-2026-02-14.zip
2026-02-14,daily,bookDepth,data/futures/um/daily/bookDepth/MSTRUSDT/MSTRUSDT-bookDepth-2026-02-14.zip
2026-02-14,daily,metrics,data/futures/um/daily/metrics/MSTRUSDT/MSTRUSDT-metrics-2026-02-14.zip
2026-02-15,daily,aggTrades,data/futures/um/daily/aggTrades/MSTRUSDT/MSTRUSDT-aggTrades-2026-02-15.zip
2026-02-15,daily,bookDepth,data/futures/um/daily/bookDepth/MSTRUSDT/MSTRUSDT-bookDepth-2026-02-15.zip
2026-02-15,daily,metrics,data/futures/um/daily/metrics/MSTRUSDT/MSTRUSDT-metrics-2026-02-15.zip
2026-02-16,daily,aggTrades,data/futures/um/daily/aggTrades/MSTRUSDT/MSTRUSDT-aggTrades-2026-02-16.zip
2026-02-16,daily,bookDepth,data/futures/um/daily/bookDepth/MSTRUSDT/MSTRUSDT-bookDepth-2026-02-16.zip
2026-02-16,daily,metrics,data/futures/um/daily/metrics/MSTRUSDT/MSTRUSDT-metrics-2026-02-16.zip
