date,interval,data_type,key
2025-12-10,daily,aggTrades,data/futures/um/daily/aggTrades/NIGHTUSDT/NIGHTUSDT-aggTrades-2025-12-10.zip
2025-12-10,daily,bookDepth,data/futures/um/daily/bookDepth/NIGHTUSDT/NIGHTUSDT-bookDepth-2025-12-10.zip
2025-12-10,daily,metrics,data/futures/um/daily/metrics/NIGHTUSDT/NIGHTUSDT-metrics-2025-12-10.zip
2025-12-11,daily,aggTrades,data/futures/um/daily/aggTrades/NIGHTUSDT/NIGHTUSDT-aggTrades-2025-12-11.zip
2025-12-11,daily,bookDepth,data/futures/um/daily/bookDepth/NIGHTUSDT/NIGHTUSDT-bookDepth-2025-12-11.zip
2025-12-11,daily,metrics,data/futures/um/daily/metrics/NIGHTUSDT/NIGHTUSDT-metrics-2025-12-11.zip
2025-12-12,daily,aggTrades,data/futures/um/daily/aggTrades/NIGHTUSDT/NIGHTUSDT-aggTrades-2025-12-12.zip
2025-12-12,daily,bookDepth,data/futures/um/daily/bookDepth/NIGHTUSDT/NIGHTUSDT-bookDepth-2025-12-12.zip
2025-12-12,daily,metrics,data/futures/um/daily/metrics/NIGHTUSDT/NIGHTUSDT-metrics-2025-12-12.zip
2025-12-13,daily,aggTrades,data/futures/um/daily/aggTrades/NIGHTUSDT/NIGHTUSDT-aggTrades-2025-12-13.zip
2025-12-13,daily,bookDepth,data/futures/um/daily/bookDepth/NIGHTUSDT/NIGHTUSDT-bookDepth-2025-12-13.zip
2025-12-13,daily,metrics,data/futures/um/daily/metrics/NIGHTUSDT/NIGHTUSDT-metrics-2025-12-13.zip
2025-12-14,daily,aggTrades,data/futures/um/daily/aggTrades/NIGHTUSDT/NIGHTUSDT-aggTrades-2025-12-14.zip
2025-12-14,daily,bookDepth,data/futures/um/daily/bookDepth/NIGHTUSDT/NIGHTUSDT-bookDepth-2025-12-14.zip
2025-12-14,daily,metrics,data/futures/um/daily/metrics/NIGHTUSDT/NIGHTUSDT-metrics-2025-12-14.zip
2025-12-15,daily,aggTrades,data/futures/um/daily/aggTrades/NIGHTUSDT/NIGHTUSDT-aggTrades-2025-12-15.zip
2025-12-15,daily,bookDepth,data/futures/um/daily/bookDepth/NIGHTUSDT/NIGHTUSDT-bookDepth-2025-12-15.zip
2025-12-15,daily,metrics,data/futures/um/daily/metrics/NIGHTUSDT/NIGHTUSDT-metrics-2025-12-15.zip
2025-12-16,daily,aggTrades,data/futures/um/daily/aggTrades/NIGHTUSDT/NIGHTUSDT-aggTrades-2025-12-16.zip
2025-12-16,daily,bookDepth,data/futures/um/daily/bookDepth/NIGHTUSDT/NIGHTUSDT-bookDepth-2025-12-16.zip
2025-12-16,daily,metrics,data/futures/um/daily/metrics/NIGHTUSDT/NIGHTUSDT-metrics-2025-12-16.zip
2025-12-17,daily,aggTrades,data/futures/um/daily/aggTrades/NIGHTUSDT/NIGHTUSDT-aggTrades-2025-12-17.zip
2025-12-17,daily,bookDepth,data/futures/um/daily/bookDepth/NIGHTUSDT/NIGHTUSDT-bookDepth-2025-12-17.zip
2025-12-17,daily,metrics,data/futures/um/daily/metrics/NIGHTUSDT/NIGHTUSDT-metrics-2025-12-17.zip
