date,interval,data_type,key
2026-06-01,daily,aggTrades,data/futures/um/daily/aggTrades/NVOUSDT/NVOUSDT-aggTrades-2026-06-01.zip
2026-06-01,daily,bookDepth,data/futures/um/daily/bookDepth/NVOUSDT/NVOUSDT-bookDepth-2026-06-01.zip
2026-06-01,daily,metrics,data/futures/um/daily/metrics/NVOUSDT/NVOUSDT-metrics-2026-06-01.zip
2026-06-02,daily,aggTrades,data/futures/um/daily/aggTrades/NVOUSDT/NVOUSDT-aggTrades-2026-06-02.zip
2026-06-02,daily,bookDepth,data/futures/um/daily/bookDepth/NVOUSDT/NVOUSDT-bookDepth-2026-06-02.zip
2026-06-02,daily,metrics,data/futures/um/daily/metrics/NVOUSDT/NVOUSDT-metrics-2026-06-02.zip
2026-06-03,daily,aggTrades,data/futures/um/daily/aggTrades/NVOUSDT/NVOUSDT-aggTrades-2026-06-03.zip
2026-06-03,daily,bookDepth,data/futures/um/daily/bookDepth/NVOUSDT/NVOUSDT-bookDepth-2026-06-03.zip
2026-06-03,daily,metrics,data/futures/um/daily/metrics/NVOUSDT/NVOUSDT-metrics-2026-06-03.zip
2026-06-04,daily,aggTrades,data/futures/um/daily/aggTrades/NVOUSDT/NVOUSDT-aggTrades-2026-06-04.zip
2026-06-04,daily,bookDepth,data/futures/um/daily/bookDepth/NVOUSDT/NVOUSDT-bookDepth-2026-06-04.zip
2026-06-04,daily,metrics,data/futures/um/daily/metrics/NVOUSDT/NVOUSDT-metrics-2026-06-04.zip
2026-06-05,daily,aggTrades,data/futures/um/daily/aggTrades/NVOUSDT/NVOUSDT-aggTrades-2026-06-05.zip
2026-06-05,daily,bookDepth,data/futures/um/daily/bookDepth/NVOUSDT/NVOUSDT-bookDepth-2026-06-05.zip
2026-06-05,daily,metrics,data/futures/um/daily/metrics/NVOUSDT/NVOUSDT-metrics-2026-06-05.zip
2026-06-06,daily,aggTrades,data/futures/um/daily/aggTrades/NVOUSDT/NVOUSDT-aggTrades-2026-06-06.zip
2026-06-06,daily,bookDepth,data/futures/um/daily/bookDepth/NVOUSDT/NVOUSDT-bookDepth-2026-06-06.zip
2026-06-06,daily,metrics,data/futures/um/daily/metrics/NVOUSDT/NVOUSDT-metrics-2026-06-06.zip
2026-06-07,daily,aggTrades,data/futures/um/daily/aggTrades/NVOUSDT/NVOUSDT-aggTrades-2026-06-07.zip
2026-06-07,daily,bookDepth,data/futures/um/daily/bookDepth/NVOUSDT/NVOUSDT-bookDepth-2026-06-07.zip
2026-06-07,daily,metrics,data/futures/um/daily/metrics/NVOUSDT/NVOUSDT-metrics-2026-06-07.zip
