date,interval,data_type,key
2026-02-21,daily,aggTrades,data/futures/um/daily/aggTrades/OPNUSDT/OPNUSDT-aggTrades-2026-02-21.zip
2026-02-21,daily,bookDepth,data/futures/um/daily/bookDepth/OPNUSDT/OPNUSDT-bookDepth-2026-02-21.zip
2026-02-21,daily,metrics,data/futures/um/daily/metrics/OPNUSDT/OPNUSDT-metrics-2026-02-21.zip
2026-02-22,daily,aggTrades,data/futures/um/daily/aggTrades/OPNUSDT/OPNUSDT-aggTrades-2026-02-22.zip
2026-02-22,daily,bookDepth,data/futures/um/daily/bookDepth/OPNUSDT/OPNUSDT-bookDepth-2026-02-22.zip
2026-02-22,daily,metrics,data/futures/um/daily/metrics/OPNUSDT/OPNUSDT-metrics-2026-02-22.zip
2026-02-23,daily,aggTrades,data/futures/um/daily/aggTrades/OPNUSDT/OPNUSDT-aggTrades-2026-02-23.zip
2026-02-23,daily,bookDepth,data/futures/um/daily/bookDepth/OPNUSDT/OPNUSDT-bookDepth-2026-02-23.zip
2026-02-23,daily,metrics,data/futures/um/daily/metrics/OPNUSDT/OPNUSDT-metrics-2026-02-23.zip
2026-02-24,daily,aggTrades,data/futures/um/daily/aggTrades/OPNUSDT/OPNUSDT-aggTrades-2026-02-24.zip
2026-02-24,daily,bookDepth,data/futures/um/daily/bookDepth/OPNUSDT/OPNUSDT-bookDepth-2026-02-24.zip
2026-02-24,daily,metrics,data/futures/um/daily/metrics/OPNUSDT/OPNUSDT-metrics-2026-02-24.zip
2026-02-25,daily,aggTrades,data/futures/um/daily/aggTrades/OPNUSDT/OPNUSDT-aggTrades-2026-02-25.zip
2026-02-25,daily,bookDepth,data/futures/um/daily/bookDepth/OPNUSDT/OPNUSDT-bookDepth-2026-02-25.zip
2026-02-25,daily,metrics,data/futures/um/daily/metrics/OPNUSDT/OPNUSDT-metrics-2026-02-25.zip
2026-02-26,daily,aggTrades,data/futures/um/daily/aggTrades/OPNUSDT/OPNUSDT-aggTrades-2026-02-26.zip
2026-02-26,daily,bookDepth,data/futures/um/daily/bookDepth/OPNUSDT/OPNUSDT-bookDepth-2026-02-26.zip
2026-02-26,daily,metrics,data/futures/um/daily/metrics/OPNUSDT/OPNUSDT-metrics-2026-02-26.zip
