date,interval,data_type,key
2026-03-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/PAYPUSDT/PAYPUSDT-aggTrades-2026-03.zip
2026-03-01,monthly,trades,data/futures/um/monthly/trades/PAYPUSDT/PAYPUSDT-trades-2026-03.zip
2026-03-23,daily,aggTrades,data/futures/um/daily/aggTrades/PAYPUSDT/PAYPUSDT-aggTrades-2026-03-23.zip
2026-03-23,daily,bookDepth,data/futures/um/daily/bookDepth/PAYPUSDT/PAYPUSDT-bookDepth-2026-03-23.zip
2026-03-23,daily,metrics,data/futures/um/daily/metrics/PAYPUSDT/PAYPUSDT-metrics-2026-03-23.zip
2026-03-24,daily,aggTrades,data/futures/um/daily/aggTrades/PAYPUSDT/PAYPUSDT-aggTrades-2026-03-24.zip
2026-03-24,daily,bookDepth,data/futures/um/daily/bookDepth/PAYPUSDT/PAYPUSDT-bookDepth-2026-03-24.zip
2026-03-24,daily,metrics,data/futures/um/daily/metrics/PAYPUSDT/PAYPUSDT-metrics-2026-03-24.zip
2026-03-25,daily,aggTrades,data/futures/um/daily/aggTrades/PAYPUSDT/PAYPUSDT-aggTrades-2026-03-25.zip
2026-03-25,daily,bookDepth,data/futures/um/daily/bookDepth/PAYPUSDT/PAYPUSDT-bookDepth-2026-03-25.zip
2026-03-25,daily,metrics,data/futures/um/daily/metrics/PAYPUSDT/PAYPUSDT-metrics-2026-03-25.zip
2026-03-26,daily,aggTrades,data/futures/um/daily/aggTrades/PAYPUSDT/PAYPUSDT-aggTrades-2026-03-26.zip
2026-03-26,daily,bookDepth,data/futures/um/daily/bookDepth/PAYPUSDT/PAYPUSDT-bookDepth-2026-03-26.zip
2026-03-26,daily,metrics,data/futures/um/daily/metrics/PAYPUSDT/PAYPUSDT-metrics-2026-03-26.zip
2026-03-27,daily,aggTrades,data/futures/um/daily/aggTrades/PAYPUSDT/PAYPUSDT-aggTrades-2026-03-27.zip
2026-03-27,daily,bookDepth,data/futures/um/daily/bookDepth/PAYPUSDT/PAYPUSDT-bookDepth-2026-03-27.zip
2026-03-27,daily,metrics,data/futures/um/daily/metrics/PAYPUSDT/PAYPUSDT-metrics-2026-03-27.zip
2026-03-28,daily,aggTrades,data/futures/um/daily/aggTrades/PAYPUSDT/PAYPUSDT-aggTrades-2026-03-28.zip
2026-03-28,daily,bookDepth,data/futures/um/daily/bookDepth/PAYPUSDT/PAYPUSDT-bookDepth-2026-03-28.zip
2026-03-28,daily,metrics,data/futures/um/daily/metrics/PAYPUSDT/PAYPUSDT-metrics-2026-03-28.zip
2026-03-29,daily,aggTrades,data/futures/um/daily/aggTrades/PAYPUSDT/PAYPUSDT-aggTrades-2026-03-29.zip
2026-03-29,daily,bookDepth,data/futures/um/daily/bookDepth/PAYPUSDT/PAYPUSDT-bookDepth-2026-03-29.zip
2026-03-29,daily,metrics,data/futures/um/daily/metrics/PAYPUSDT/PAYPUSDT-metrics-2026-03-29.zip
2026-03-30,daily,aggTrades,data/futures/um/daily/aggTrades/PAYPUSDT/PAYPUSDT-aggTrades-2026-03-30.zip
2026-03-30,daily,bookDepth,data/futures/um/daily/bookDepth/PAYPUSDT/PAYPUSDT-bookDepth-2026-03-30.zip
2026-03-30,daily,metrics,data/futures/um/daily/metrics/PAYPUSDT/PAYPUSDT-metrics-2026-03-30.zip
2026-03-31,daily,aggTrades,data/futures/um/daily/aggTrades/PAYPUSDT/PAYPUSDT-aggTrades-2026-03-31.zip
2026-03-31,daily,bookDepth,data/futures/um/daily/bookDepth/PAYPUSDT/PAYPUSDT-bookDepth-2026-03-31.zip
2026-03-31,daily,metrics,data/futures/um/daily/metrics/PAYPUSDT/PAYPUSDT-metrics-2026-03-31.zip
2026-04-01,daily,aggTrades,data/futures/um/daily/aggTrades/PAYPUSDT/PAYPUSDT-aggTrades-2026-04-01.zip
2026-04-01,daily,bookDepth,data/futures/um/daily/bookDepth/PAYPUSDT/PAYPUSDT-bookDepth-2026-04-01.zip
2026-04-01,daily,metrics,data/futures/um/daily/metrics/PAYPUSDT/PAYPUSDT-metrics-2026-04-01.zip
2026-04-02,daily,aggTrades,data/futures/um/daily/aggTrades/PAYPUSDT/PAYPUSDT-aggTrades-2026-04-02.zip
2026-04-02,daily,bookDepth,data/futures/um/daily/bookDepth/PAYPUSDT/PAYPUSDT-bookDepth-2026-04-02.zip
2026-04-02,daily,metrics,data/futures/um/daily/metrics/PAYPUSDT/PAYPUSDT-metrics-2026-04-02.zip
2026-04-03,daily,aggTrades,data/futures/um/daily/aggTrades/PAYPUSDT/PAYPUSDT-aggTrades-2026-04-03.zip
2026-04-03,daily,bookDepth,data/futures/um/daily/bookDepth/PAYPUSDT/PAYPUSDT-bookDepth-2026-04-03.zip
2026-04-03,daily,metrics,data/futures/um/daily/metrics/PAYPUSDT/PAYPUSDT-metrics-2026-04-03.zip
2026-04-04,daily,aggTrades,data/futures/um/daily/aggTrades/PAYPUSDT/PAYPUSDT-aggTrades-2026-04-04.zip
2026-04-04,daily,bookDepth,data/futures/um/daily/bookDepth/PAYPUSDT/PAYPUSDT-bookDepth-2026-04-04.zip
2026-04-04,daily,metrics,data/futures/um/daily/metrics/PAYPUSDT/PAYPUSDT-metrics-2026-04-04.zip
