date,interval,data_type,key
2026-07-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/PYPLUSDT/PYPLUSDT-aggTrades-2026-07.zip
2026-07-01,monthly,trades,data/futures/um/monthly/trades/PYPLUSDT/PYPLUSDT-trades-2026-07.zip
2026-07-29,daily,aggTrades,data/futures/um/daily/aggTrades/PYPLUSDT/PYPLUSDT-aggTrades-2026-07-29.zip
2026-07-29,daily,bookDepth,data/futures/um/daily/bookDepth/PYPLUSDT/PYPLUSDT-bookDepth-2026-07-29.zip
2026-07-29,daily,metrics,data/futures/um/daily/metrics/PYPLUSDT/PYPLUSDT-metrics-2026-07-29.zip
2026-07-30,daily,aggTrades,data/futures/um/daily/aggTrades/PYPLUSDT/PYPLUSDT-aggTrades-2026-07-30.zip
2026-07-30,daily,bookDepth,data/futures/um/daily/bookDepth/PYPLUSDT/PYPLUSDT-bookDepth-2026-07-30.zip
2026-07-30,daily,metrics,data/futures/um/daily/metrics/PYPLUSDT/PYPLUSDT-metrics-2026-07-30.zip
2026-07-31,daily,aggTrades,data/futures/um/daily/aggTrades/PYPLUSDT/PYPLUSDT-aggTrades-2026-07-31.zip
2026-07-31,daily,bookDepth,data/futures/um/daily/bookDepth/PYPLUSDT/PYPLUSDT-bookDepth-2026-07-31.zip
2026-07-31,daily,metrics,data/futures/um/daily/metrics/PYPLUSDT/PYPLUSDT-metrics-2026-07-31.zip
2026-08-01,daily,aggTrades,data/futures/um/daily/aggTrades/PYPLUSDT/PYPLUSDT-aggTrades-2026-08-01.zip
2026-08-01,daily,bookDepth,data/futures/um/daily/bookDepth/PYPLUSDT/PYPLUSDT-bookDepth-2026-08-01.zip
2026-08-01,daily,metrics,data/futures/um/daily/metrics/PYPLUSDT/PYPLUSDT-metrics-2026-08-01.zip
