date,interval,data_type,key
2026-05-06,daily,aggTrades,data/futures/um/daily/aggTrades/QCOMUSDT/QCOMUSDT-aggTrades-2026-05-06.zip
2026-05-06,daily,bookDepth,data/futures/um/daily/bookDepth/QCOMUSDT/QCOMUSDT-bookDepth-2026-05-06.zip
2026-05-06,daily,metrics,data/futures/um/daily/metrics/QCOMUSDT/QCOMUSDT-metrics-2026-05-06.zip
2026-05-07,daily,aggTrades,data/futures/um/daily/aggTrades/QCOMUSDT/QCOMUSDT-aggTrades-2026-05-07.zip
2026-05-07,daily,bookDepth,data/futures/um/daily/bookDepth/QCOMUSDT/QCOMUSDT-bookDepth-2026-05-07.zip
2026-05-07,daily,metrics,data/futures/um/daily/metrics/QCOMUSDT/QCOMUSDT-metrics-2026-05-07.zip
2026-05-08,daily,aggTrades,data/futures/um/daily/aggTrades/QCOMUSDT/QCOMUSDT-aggTrades-2026-05-08.zip
2026-05-08,daily,bookDepth,data/futures/um/daily/bookDepth/QCOMUSDT/QCOMUSDT-bookDepth-2026-05-08.zip
2026-05-08,daily,metrics,data/futures/um/daily/metrics/QCOMUSDT/QCOMUSDT-metrics-2026-05-08.zip
2026-05-09,daily,aggTrades,data/futures/um/daily/aggTrades/QCOMUSDT/QCOMUSDT-aggTrades-2026-05-09.zip
2026-05-09,daily,bookDepth,data/futures/um/daily/bookDepth/QCOMUSDT/QCOMUSDT-bookDepth-2026-05-09.zip
2026-05-09,daily,metrics,data/futures/um/daily/metrics/QCOMUSDT/QCOMUSDT-metrics-2026-05-09.zip
