date,interval,data_type,key
2026-05-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/QNTXUSDT/QNTXUSDT-aggTrades-2026-05.zip
2026-05-01,monthly,trades,data/futures/um/monthly/trades/QNTXUSDT/QNTXUSDT-trades-2026-05.zip
2026-05-29,daily,aggTrades,data/futures/um/daily/aggTrades/QNTXUSDT/QNTXUSDT-aggTrades-2026-05-29.zip
2026-05-29,daily,bookDepth,data/futures/um/daily/bookDepth/QNTXUSDT/QNTXUSDT-bookDepth-2026-05-29.zip
2026-05-29,daily,metrics,data/futures/um/daily/metrics/QNTXUSDT/QNTXUSDT-metrics-2026-05-29.zip
2026-05-30,daily,aggTrades,data/futures/um/daily/aggTrades/QNTXUSDT/QNTXUSDT-aggTrades-2026-05-30.zip
2026-05-30,daily,bookDepth,data/futures/um/daily/bookDepth/QNTXUSDT/QNTXUSDT-bookDepth-2026-05-30.zip
2026-05-30,daily,metrics,data/futures/um/daily/metrics/QNTXUSDT/QNTXUSDT-metrics-2026-05-30.zip
2026-05-31,daily,aggTrades,data/futures/um/daily/aggTrades/QNTXUSDT/QNTXUSDT-aggTrades-2026-05-31.zip
2026-05-31,daily,bookDepth,data/futures/um/daily/bookDepth/QNTXUSDT/QNTXUSDT-bookDepth-2026-05-31.zip
2026-05-31,daily,metrics,data/futures/um/daily/metrics/QNTXUSDT/QNTXUSDT-metrics-2026-05-31.zip
