date,interval,data_type,key
2026-06-18,daily,aggTrades,data/futures/um/daily/aggTrades/REUSDT/REUSDT-aggTrades-2026-06-18.zip
2026-06-18,daily,bookDepth,data/futures/um/daily/bookDepth/REUSDT/REUSDT-bookDepth-2026-06-18.zip
2026-06-18,daily,metrics,data/futures/um/daily/metrics/REUSDT/REUSDT-metrics-2026-06-18.zip
2026-06-19,daily,aggTrades,data/futures/um/daily/aggTrades/REUSDT/REUSDT-aggTrades-2026-06-19.zip
2026-06-19,daily,bookDepth,data/futures/um/daily/bookDepth/REUSDT/REUSDT-bookDepth-2026-06-19.zip
2026-06-19,daily,metrics,data/futures/um/daily/metrics/REUSDT/REUSDT-metrics-2026-06-19.zip
2026-06-20,daily,aggTrades,data/futures/um/daily/aggTrades/REUSDT/REUSDT-aggTrades-2026-06-20.zip
2026-06-20,daily,bookDepth,data/futures/um/daily/bookDepth/REUSDT/REUSDT-bookDepth-2026-06-20.zip
2026-06-20,daily,metrics,data/futures/um/daily/metrics/REUSDT/REUSDT-metrics-2026-06-20.zip
2026-06-21,daily,aggTrades,data/futures/um/daily/aggTrades/REUSDT/REUSDT-aggTrades-2026-06-21.zip
2026-06-21,daily,bookDepth,data/futures/um/daily/bookDepth/REUSDT/REUSDT-bookDepth-2026-06-21.zip
2026-06-21,daily,metrics,data/futures/um/daily/metrics/REUSDT/REUSDT-metrics-2026-06-21.zip
2026-06-22,daily,aggTrades,data/futures/um/daily/aggTrades/REUSDT/REUSDT-aggTrades-2026-06-22.zip
2026-06-22,daily,bookDepth,data/futures/um/daily/bookDepth/REUSDT/REUSDT-bookDepth-2026-06-22.zip
2026-06-22,daily,metrics,data/futures/um/daily/metrics/REUSDT/REUSDT-metrics-2026-06-22.zip
2026-06-23,daily,aggTrades,data/futures/um/daily/aggTrades/REUSDT/REUSDT-aggTrades-2026-06-23.zip
2026-06-23,daily,bookDepth,data/futures/um/daily/bookDepth/REUSDT/REUSDT-bookDepth-2026-06-23.zip
2026-06-23,daily,metrics,data/futures/um/daily/metrics/REUSDT/REUSDT-metrics-2026-06-23.zip
2026-06-24,daily,aggTrades,data/futures/um/daily/aggTrades/REUSDT/REUSDT-aggTrades-2026-06-24.zip
2026-06-24,daily,bookDepth,data/futures/um/daily/bookDepth/REUSDT/REUSDT-bookDepth-2026-06-24.zip
2026-06-24,daily,metrics,data/futures/um/daily/metrics/REUSDT/REUSDT-metrics-2026-06-24.zip
2026-06-25,daily,aggTrades,data/futures/um/daily/aggTrades/REUSDT/REUSDT-aggTrades-2026-06-25.zip
2026-06-25,daily,bookDepth,data/futures/um/daily/bookDepth/REUSDT/REUSDT-bookDepth-2026-06-25.zip
2026-06-25,daily,metrics,data/futures/um/daily/metrics/REUSDT/REUSDT-metrics-2026-06-25.zip
2026-06-26,daily,aggTrades,data/futures/um/daily/aggTrades/REUSDT/REUSDT-aggTrades-2026-06-26.zip
2026-06-26,daily,bookDepth,data/futures/um/daily/bookDepth/REUSDT/REUSDT-bookDepth-2026-06-26.zip
2026-06-26,daily,metrics,data/futures/um/daily/metrics/REUSDT/REUSDT-metrics-2026-06-26.zip
