date,interval,data_type,key
2026-02-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/ROBOUSDT/ROBOUSDT-aggTrades-2026-02.zip
2026-02-01,monthly,trades,data/futures/um/monthly/trades/ROBOUSDT/ROBOUSDT-trades-2026-02.zip
2026-02-27,daily,aggTrades,data/futures/um/daily/aggTrades/ROBOUSDT/ROBOUSDT-aggTrades-2026-02-27.zip
2026-02-27,daily,bookDepth,data/futures/um/daily/bookDepth/ROBOUSDT/ROBOUSDT-bookDepth-2026-02-27.zip
2026-02-27,daily,metrics,data/futures/um/daily/metrics/ROBOUSDT/ROBOUSDT-metrics-2026-02-27.zip
2026-02-28,daily,aggTrades,data/futures/um/daily/aggTrades/ROBOUSDT/ROBOUSDT-aggTrades-2026-02-28.zip
2026-02-28,daily,bookDepth,data/futures/um/daily/bookDepth/ROBOUSDT/ROBOUSDT-bookDepth-2026-02-28.zip
2026-02-28,daily,metrics,data/futures/um/daily/metrics/ROBOUSDT/ROBOUSDT-metrics-2026-02-28.zip
2026-03-01,daily,aggTrades,data/futures/um/daily/aggTrades/ROBOUSDT/ROBOUSDT-aggTrades-2026-03-01.zip
2026-03-01,daily,bookDepth,data/futures/um/daily/bookDepth/ROBOUSDT/ROBOUSDT-bookDepth-2026-03-01.zip
2026-03-01,daily,metrics,data/futures/um/daily/metrics/ROBOUSDT/ROBOUSDT-metrics-2026-03-01.zip
2026-03-02,daily,aggTrades,data/futures/um/daily/aggTrades/ROBOUSDT/ROBOUSDT-aggTrades-2026-03-02.zip
2026-03-02,daily,bookDepth,data/futures/um/daily/bookDepth/ROBOUSDT/ROBOUSDT-bookDepth-2026-03-02.zip
2026-03-02,daily,metrics,data/futures/um/daily/metrics/ROBOUSDT/ROBOUSDT-metrics-2026-03-02.zip
2026-03-03,daily,aggTrades,data/futures/um/daily/aggTrades/ROBOUSDT/ROBOUSDT-aggTrades-2026-03-03.zip
2026-03-03,daily,bookDepth,data/futures/um/daily/bookDepth/ROBOUSDT/ROBOUSDT-bookDepth-2026-03-03.zip
2026-03-03,daily,metrics,data/futures/um/daily/metrics/ROBOUSDT/ROBOUSDT-metrics-2026-03-03.zip
2026-03-04,daily,aggTrades,data/futures/um/daily/aggTrades/ROBOUSDT/ROBOUSDT-aggTrades-2026-03-04.zip
2026-03-04,daily,bookDepth,data/futures/um/daily/bookDepth/ROBOUSDT/ROBOUSDT-bookDepth-2026-03-04.zip
2026-03-04,daily,metrics,data/futures/um/daily/metrics/ROBOUSDT/ROBOUSDT-metrics-2026-03-04.zip
2026-03-05,daily,aggTrades,data/futures/um/daily/aggTrades/ROBOUSDT/ROBOUSDT-aggTrades-2026-03-05.zip
2026-03-05,daily,bookDepth,data/futures/um/daily/bookDepth/ROBOUSDT/ROBOUSDT-bookDepth-2026-03-05.zip
2026-03-05,daily,metrics,data/futures/um/daily/metrics/ROBOUSDT/ROBOUSDT-metrics-2026-03-05.zip
2026-03-06,daily,aggTrades,data/futures/um/daily/aggTrades/ROBOUSDT/ROBOUSDT-aggTrades-2026-03-06.zip
2026-03-06,daily,bookDepth,data/futures/um/daily/bookDepth/ROBOUSDT/ROBOUSDT-bookDepth-2026-03-06.zip
2026-03-06,daily,metrics,data/futures/um/daily/metrics/ROBOUSDT/ROBOUSDT-metrics-2026-03-06.zip
2026-03-07,daily,aggTrades,data/futures/um/daily/aggTrades/ROBOUSDT/ROBOUSDT-aggTrades-2026-03-07.zip
2026-03-07,daily,bookDepth,data/futures/um/daily/bookDepth/ROBOUSDT/ROBOUSDT-bookDepth-2026-03-07.zip
2026-03-07,daily,metrics,data/futures/um/daily/metrics/ROBOUSDT/ROBOUSDT-metrics-2026-03-07.zip
2026-03-08,daily,aggTrades,data/futures/um/daily/aggTrades/ROBOUSDT/ROBOUSDT-aggTrades-2026-03-08.zip
