date,interval,data_type,key
2026-07-22,daily,aggTrades,data/futures/um/daily/aggTrades/TENCENTUSDT/TENCENTUSDT-aggTrades-2026-07-22.zip
2026-07-22,daily,bookDepth,data/futures/um/daily/bookDepth/TENCENTUSDT/TENCENTUSDT-bookDepth-2026-07-22.zip
2026-07-22,daily,metrics,data/futures/um/daily/metrics/TENCENTUSDT/TENCENTUSDT-metrics-2026-07-22.zip
2026-07-23,daily,aggTrades,data/futures/um/daily/aggTrades/TENCENTUSDT/TENCENTUSDT-aggTrades-2026-07-23.zip
2026-07-23,daily,bookDepth,data/futures/um/daily/bookDepth/TENCENTUSDT/TENCENTUSDT-bookDepth-2026-07-23.zip
2026-07-23,daily,metrics,data/futures/um/daily/metrics/TENCENTUSDT/TENCENTUSDT-metrics-2026-07-23.zip
2026-07-24,daily,aggTrades,data/futures/um/daily/aggTrades/TENCENTUSDT/TENCENTUSDT-aggTrades-2026-07-24.zip
2026-07-24,daily,bookDepth,data/futures/um/daily/bookDepth/TENCENTUSDT/TENCENTUSDT-bookDepth-2026-07-24.zip
2026-07-24,daily,metrics,data/futures/um/daily/metrics/TENCENTUSDT/TENCENTUSDT-metrics-2026-07-24.zip
2026-07-25,daily,aggTrades,data/futures/um/daily/aggTrades/TENCENTUSDT/TENCENTUSDT-aggTrades-2026-07-25.zip
2026-07-25,daily,bookDepth,data/futures/um/daily/bookDepth/TENCENTUSDT/TENCENTUSDT-bookDepth-2026-07-25.zip
2026-07-25,daily,metrics,data/futures/um/daily/metrics/TENCENTUSDT/TENCENTUSDT-metrics-2026-07-25.zip
