date,interval,data_type,key
2025-11-05,daily,aggTrades,data/futures/um/daily/aggTrades/TRUSTUSDT/TRUSTUSDT-aggTrades-2025-11-05.zip
2025-11-05,daily,bookDepth,data/futures/um/daily/bookDepth/TRUSTUSDT/TRUSTUSDT-bookDepth-2025-11-05.zip
2025-11-05,daily,metrics,data/futures/um/daily/metrics/TRUSTUSDT/TRUSTUSDT-metrics-2025-11-05.zip
2025-11-06,daily,aggTrades,data/futures/um/daily/aggTrades/TRUSTUSDT/TRUSTUSDT-aggTrades-2025-11-06.zip
2025-11-06,daily,bookDepth,data/futures/um/daily/bookDepth/TRUSTUSDT/TRUSTUSDT-bookDepth-2025-11-06.zip
2025-11-06,daily,metrics,data/futures/um/daily/metrics/TRUSTUSDT/TRUSTUSDT-metrics-2025-11-06.zip
2025-11-07,daily,aggTrades,data/futures/um/daily/aggTrades/TRUSTUSDT/TRUSTUSDT-aggTrades-2025-11-07.zip
2025-11-07,daily,bookDepth,data/futures/um/daily/bookDepth/TRUSTUSDT/TRUSTUSDT-bookDepth-2025-11-07.zip
2025-11-07,daily,metrics,data/futures/um/daily/metrics/TRUSTUSDT/TRUSTUSDT-metrics-2025-11-07.zip
2025-11-08,daily,aggTrades,data/futures/um/daily/aggTrades/TRUSTUSDT/TRUSTUSDT-aggTrades-2025-11-08.zip
2025-11-08,daily,bookDepth,data/futures/um/daily/bookDepth/TRUSTUSDT/TRUSTUSDT-bookDepth-2025-11-08.zip
2025-11-08,daily,metrics,data/futures/um/daily/metrics/TRUSTUSDT/TRUSTUSDT-metrics-2025-11-08.zip
2025-11-09,daily,aggTrades,data/futures/um/daily/aggTrades/TRUSTUSDT/TRUSTUSDT-aggTrades-2025-11-09.zip
2025-11-09,daily,bookDepth,data/futures/um/daily/bookDepth/TRUSTUSDT/TRUSTUSDT-bookDepth-2025-11-09.zip
2025-11-09,daily,metrics,data/futures/um/daily/metrics/TRUSTUSDT/TRUSTUSDT-metrics-2025-11-09.zip
2025-11-10,daily,aggTrades,data/futures/um/daily/aggTrades/TRUSTUSDT/TRUSTUSDT-aggTrades-2025-11-10.zip
2025-11-10,daily,bookDepth,data/futures/um/daily/bookDepth/TRUSTUSDT/TRUSTUSDT-bookDepth-2025-11-10.zip
2025-11-10,daily,metrics,data/futures/um/daily/metrics/TRUSTUSDT/TRUSTUSDT-metrics-2025-11-10.zip
2025-11-11,daily,aggTrades,data/futures/um/daily/aggTrades/TRUSTUSDT/TRUSTUSDT-aggTrades-2025-11-11.zip
2025-11-11,daily,bookDepth,data/futures/um/daily/bookDepth/TRUSTUSDT/TRUSTUSDT-bookDepth-2025-11-11.zip
2025-11-11,daily,metrics,data/futures/um/daily/metrics/TRUSTUSDT/TRUSTUSDT-metrics-2025-11-11.zip
2025-11-12,daily,aggTrades,data/futures/um/daily/aggTrades/TRUSTUSDT/TRUSTUSDT-aggTrades-2025-11-12.zip
2025-11-12,daily,bookDepth,data/futures/um/daily/bookDepth/TRUSTUSDT/TRUSTUSDT-bookDepth-2025-11-12.zip
2025-11-12,daily,metrics,data/futures/um/daily/metrics/TRUSTUSDT/TRUSTUSDT-metrics-2025-11-12.zip
