date,interval,data_type,key
2026-05-18,daily,aggTrades,data/futures/um/daily/aggTrades/VUSDT/VUSDT-aggTrades-2026-05-18.zip
2026-05-18,daily,bookDepth,data/futures/um/daily/bookDepth/VUSDT/VUSDT-bookDepth-2026-05-18.zip
2026-05-18,daily,metrics,data/futures/um/daily/metrics/VUSDT/VUSDT-metrics-2026-05-18.zip
2026-05-19,daily,aggTrades,data/futures/um/daily/aggTrades/VUSDT/VUSDT-aggTrades-2026-05-19.zip
2026-05-19,daily,bookDepth,data/futures/um/daily/bookDepth/VUSDT/VUSDT-bookDepth-2026-05-19.zip
2026-05-19,daily,metrics,data/futures/um/daily/metrics/VUSDT/VUSDT-metrics-2026-05-19.zip
2026-05-20,daily,aggTrades,data/futures/um/daily/aggTrades/VUSDT/VUSDT-aggTrades-2026-05-20.zip
2026-05-20,daily,bookDepth,data/futures/um/daily/bookDepth/VUSDT/VUSDT-bookDepth-2026-05-20.zip
2026-05-20,daily,metrics,data/futures/um/daily/metrics/VUSDT/VUSDT-metrics-2026-05-20.zip
2026-05-21,daily,aggTrades,data/futures/um/daily/aggTrades/VUSDT/VUSDT-aggTrades-2026-05-21.zip
2026-05-21,daily,bookDepth,data/futures/um/daily/bookDepth/VUSDT/VUSDT-bookDepth-2026-05-21.zip
2026-05-21,daily,metrics,data/futures/um/daily/metrics/VUSDT/VUSDT-metrics-2026-05-21.zip
2026-05-22,daily,aggTrades,data/futures/um/daily/aggTrades/VUSDT/VUSDT-aggTrades-2026-05-22.zip
2026-05-22,daily,bookDepth,data/futures/um/daily/bookDepth/VUSDT/VUSDT-bookDepth-2026-05-22.zip
2026-05-22,daily,metrics,data/futures/um/daily/metrics/VUSDT/VUSDT-metrics-2026-05-22.zip
