date,interval,data_type,key
2025-12-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/ZKPUSDT/ZKPUSDT-aggTrades-2025-12.zip
2025-12-21,daily,aggTrades,data/futures/um/daily/aggTrades/ZKPUSDT/ZKPUSDT-aggTrades-2025-12-21.zip
2025-12-21,daily,bookDepth,data/futures/um/daily/bookDepth/ZKPUSDT/ZKPUSDT-bookDepth-2025-12-21.zip
2025-12-21,daily,metrics,data/futures/um/daily/metrics/ZKPUSDT/ZKPUSDT-metrics-2025-12-21.zip
2025-12-22,daily,aggTrades,data/futures/um/daily/aggTrades/ZKPUSDT/ZKPUSDT-aggTrades-2025-12-22.zip
2025-12-22,daily,bookDepth,data/futures/um/daily/bookDepth/ZKPUSDT/ZKPUSDT-bookDepth-2025-12-22.zip
2025-12-22,daily,metrics,data/futures/um/daily/metrics/ZKPUSDT/ZKPUSDT-metrics-2025-12-22.zip
2025-12-23,daily,aggTrades,data/futures/um/daily/aggTrades/ZKPUSDT/ZKPUSDT-aggTrades-2025-12-23.zip
2025-12-23,daily,bookDepth,data/futures/um/daily/bookDepth/ZKPUSDT/ZKPUSDT-bookDepth-2025-12-23.zip
2025-12-23,daily,metrics,data/futures/um/daily/metrics/ZKPUSDT/ZKPUSDT-metrics-2025-12-23.zip
2025-12-24,daily,aggTrades,data/futures/um/daily/aggTrades/ZKPUSDT/ZKPUSDT-aggTrades-2025-12-24.zip
2025-12-24,daily,bookDepth,data/futures/um/daily/bookDepth/ZKPUSDT/ZKPUSDT-bookDepth-2025-12-24.zip
2025-12-24,daily,metrics,data/futures/um/daily/metrics/ZKPUSDT/ZKPUSDT-metrics-2025-12-24.zip
2025-12-25,daily,aggTrades,data/futures/um/daily/aggTrades/ZKPUSDT/ZKPUSDT-aggTrades-2025-12-25.zip
2025-12-25,daily,bookDepth,data/futures/um/daily/bookDepth/ZKPUSDT/ZKPUSDT-bookDepth-2025-12-25.zip
2025-12-25,daily,metrics,data/futures/um/daily/metrics/ZKPUSDT/ZKPUSDT-metrics-2025-12-25.zip
2025-12-26,daily,aggTrades,data/futures/um/daily/aggTrades/ZKPUSDT/ZKPUSDT-aggTrades-2025-12-26.zip
2025-12-26,daily,bookDepth,data/futures/um/daily/bookDepth/ZKPUSDT/ZKPUSDT-bookDepth-2025-12-26.zip
2025-12-26,daily,metrics,data/futures/um/daily/metrics/ZKPUSDT/ZKPUSDT-metrics-2025-12-26.zip
2025-12-27,daily,aggTrades,data/futures/um/daily/aggTrades/ZKPUSDT/ZKPUSDT-aggTrades-2025-12-27.zip
2025-12-27,daily,bookDepth,data/futures/um/daily/bookDepth/ZKPUSDT/ZKPUSDT-bookDepth-2025-12-27.zip
2025-12-27,daily,metrics,data/futures/um/daily/metrics/ZKPUSDT/ZKPUSDT-metrics-2025-12-27.zip
2025-12-28,daily,aggTrades,data/futures/um/daily/aggTrades/ZKPUSDT/ZKPUSDT-aggTrades-2025-12-28.zip
2025-12-28,daily,bookDepth,data/futures/um/daily/bookDepth/ZKPUSDT/ZKPUSDT-bookDepth-2025-12-28.zip
2025-12-28,daily,metrics,data/futures/um/daily/metrics/ZKPUSDT/ZKPUSDT-metrics-2025-12-28.zip
2025-12-29,daily,aggTrades,data/futures/um/daily/aggTrades/ZKPUSDT/ZKPUSDT-aggTrades-2025-12-29.zip
2025-12-29,daily,bookDepth,data/futures/um/daily/bookDepth/ZKPUSDT/ZKPUSDT-bookDepth-2025-12-29.zip
2025-12-29,daily,metrics,data/futures/um/daily/metrics/ZKPUSDT/ZKPUSDT-metrics-2025-12-29.zip
2025-12-30,daily,aggTrades,data/futures/um/daily/aggTrades/ZKPUSDT/ZKPUSDT-aggTrades-2025-12-30.zip
2025-12-30,daily,bookDepth,data/futures/um/daily/bookDepth/ZKPUSDT/ZKPUSDT-bookDepth-2025-12-30.zip
2025-12-30,daily,metrics,data/futures/um/daily/metrics/ZKPUSDT/ZKPUSDT-metrics-2025-12-30.zip
2025-12-31,daily,aggTrades,data/futures/um/daily/aggTrades/ZKPUSDT/ZKPUSDT-aggTrades-2025-12-31.zip
2025-12-31,daily,bookDepth,data/futures/um/daily/bookDepth/ZKPUSDT/ZKPUSDT-bookDepth-2025-12-31.zip
2025-12-31,daily,metrics,data/futures/um/daily/metrics/ZKPUSDT/ZKPUSDT-metrics-2025-12-31.zip
