date,interval,data_type,key
2026-01-21,daily,aggTrades,data/futures/um/daily/aggTrades/我踏马来了USDT/我踏马来了USDT-aggTrades-2026-01-21.zip
2026-01-21,daily,bookDepth,data/futures/um/daily/bookDepth/我踏马来了USDT/我踏马来了USDT-bookDepth-2026-01-21.zip
2026-01-21,daily,metrics,data/futures/um/daily/metrics/我踏马来了USDT/我踏马来了USDT-metrics-2026-01-21.zip
2026-01-22,daily,aggTrades,data/futures/um/daily/aggTrades/我踏马来了USDT/我踏马来了USDT-aggTrades-2026-01-22.zip
2026-01-22,daily,bookDepth,data/futures/um/daily/bookDepth/我踏马来了USDT/我踏马来了USDT-bookDepth-2026-01-22.zip
2026-01-22,daily,metrics,data/futures/um/daily/metrics/我踏马来了USDT/我踏马来了USDT-metrics-2026-01-22.zip
2026-01-23,daily,aggTrades,data/futures/um/daily/aggTrades/我踏马来了USDT/我踏马来了USDT-aggTrades-2026-01-23.zip
2026-01-23,daily,bookDepth,data/futures/um/daily/bookDepth/我踏马来了USDT/我踏马来了USDT-bookDepth-2026-01-23.zip
2026-01-23,daily,metrics,data/futures/um/daily/metrics/我踏马来了USDT/我踏马来了USDT-metrics-2026-01-23.zip
2026-01-24,daily,aggTrades,data/futures/um/daily/aggTrades/我踏马来了USDT/我踏马来了USDT-aggTrades-2026-01-24.zip
2026-01-24,daily,bookDepth,data/futures/um/daily/bookDepth/我踏马来了USDT/我踏马来了USDT-bookDepth-2026-01-24.zip
2026-01-24,daily,metrics,data/futures/um/daily/metrics/我踏马来了USDT/我踏马来了USDT-metrics-2026-01-24.zip
