date,interval,data_type,key
2026-03-11,daily,aggTrades,data/futures/um/daily/aggTrades/龙虾USDT/龙虾USDT-aggTrades-2026-03-11.zip
2026-03-11,daily,bookDepth,data/futures/um/daily/bookDepth/龙虾USDT/龙虾USDT-bookDepth-2026-03-11.zip
2026-03-11,daily,metrics,data/futures/um/daily/metrics/龙虾USDT/龙虾USDT-metrics-2026-03-11.zip
2026-03-12,daily,aggTrades,data/futures/um/daily/aggTrades/龙虾USDT/龙虾USDT-aggTrades-2026-03-12.zip
2026-03-12,daily,bookDepth,data/futures/um/daily/bookDepth/龙虾USDT/龙虾USDT-bookDepth-2026-03-12.zip
2026-03-12,daily,metrics,data/futures/um/daily/metrics/龙虾USDT/龙虾USDT-metrics-2026-03-12.zip
2026-03-13,daily,aggTrades,data/futures/um/daily/aggTrades/龙虾USDT/龙虾USDT-aggTrades-2026-03-13.zip
2026-03-13,daily,bookDepth,data/futures/um/daily/bookDepth/龙虾USDT/龙虾USDT-bookDepth-2026-03-13.zip
2026-03-13,daily,metrics,data/futures/um/daily/metrics/龙虾USDT/龙虾USDT-metrics-2026-03-13.zip
2026-03-14,daily,aggTrades,data/futures/um/daily/aggTrades/龙虾USDT/龙虾USDT-aggTrades-2026-03-14.zip
2026-03-14,daily,bookDepth,data/futures/um/daily/bookDepth/龙虾USDT/龙虾USDT-bookDepth-2026-03-14.zip
2026-03-14,daily,metrics,data/futures/um/daily/metrics/龙虾USDT/龙虾USDT-metrics-2026-03-14.zip
2026-03-15,daily,aggTrades,data/futures/um/daily/aggTrades/龙虾USDT/龙虾USDT-aggTrades-2026-03-15.zip
2026-03-15,daily,bookDepth,data/futures/um/daily/bookDepth/龙虾USDT/龙虾USDT-bookDepth-2026-03-15.zip
2026-03-15,daily,metrics,data/futures/um/daily/metrics/龙虾USDT/龙虾USDT-metrics-2026-03-15.zip
2026-03-16,daily,aggTrades,data/futures/um/daily/aggTrades/龙虾USDT/龙虾USDT-aggTrades-2026-03-16.zip
2026-03-16,daily,bookDepth,data/futures/um/daily/bookDepth/龙虾USDT/龙虾USDT-bookDepth-2026-03-16.zip
2026-03-16,daily,metrics,data/futures/um/daily/metrics/龙虾USDT/龙虾USDT-metrics-2026-03-16.zip
2026-03-17,daily,aggTrades,data/futures/um/daily/aggTrades/龙虾USDT/龙虾USDT-aggTrades-2026-03-17.zip
2026-03-17,daily,bookDepth,data/futures/um/daily/bookDepth/龙虾USDT/龙虾USDT-bookDepth-2026-03-17.zip
2026-03-17,daily,metrics,data/futures/um/daily/metrics/龙虾USDT/龙虾USDT-metrics-2026-03-17.zip
