date,interval,data_type,key
2026-05-14,daily,aggTrades,data/spot/daily/aggTrades/AIGENSYNUSDC/AIGENSYNUSDC-aggTrades-2026-05-14.zip
2026-05-15,daily,aggTrades,data/spot/daily/aggTrades/AIGENSYNUSDC/AIGENSYNUSDC-aggTrades-2026-05-15.zip
2026-05-16,daily,aggTrades,data/spot/daily/aggTrades/AIGENSYNUSDC/AIGENSYNUSDC-aggTrades-2026-05-16.zip
2026-05-17,daily,aggTrades,data/spot/daily/aggTrades/AIGENSYNUSDC/AIGENSYNUSDC-aggTrades-2026-05-17.zip
2026-05-18,daily,aggTrades,data/spot/daily/aggTrades/AIGENSYNUSDC/AIGENSYNUSDC-aggTrades-2026-05-18.zip
2026-05-19,daily,aggTrades,data/spot/daily/aggTrades/AIGENSYNUSDC/AIGENSYNUSDC-aggTrades-2026-05-19.zip
2026-05-20,daily,aggTrades,data/spot/daily/aggTrades/AIGENSYNUSDC/AIGENSYNUSDC-aggTrades-2026-05-20.zip
2026-05-21,daily,aggTrades,data/spot/daily/aggTrades/AIGENSYNUSDC/AIGENSYNUSDC-aggTrades-2026-05-21.zip
2026-05-22,daily,aggTrades,data/spot/daily/aggTrades/AIGENSYNUSDC/AIGENSYNUSDC-aggTrades-2026-05-22.zip
2026-05-23,daily,aggTrades,data/spot/daily/aggTrades/AIGENSYNUSDC/AIGENSYNUSDC-aggTrades-2026-05-23.zip
2026-05-24,daily,aggTrades,data/spot/daily/aggTrades/AIGENSYNUSDC/AIGENSYNUSDC-aggTrades-2026-05-24.zip
2026-05-25,daily,aggTrades,data/spot/daily/aggTrades/AIGENSYNUSDC/AIGENSYNUSDC-aggTrades-2026-05-25.zip
2026-05-26,daily,aggTrades,data/spot/daily/aggTrades/AIGENSYNUSDC/AIGENSYNUSDC-aggTrades-2026-05-26.zip
2026-05-27,daily,aggTrades,data/spot/daily/aggTrades/AIGENSYNUSDC/AIGENSYNUSDC-aggTrades-2026-05-27.zip
2026-05-28,daily,aggTrades,data/spot/daily/aggTrades/AIGENSYNUSDC/AIGENSYNUSDC-aggTrades-2026-05-28.zip
