date,interval,data_type,key
2025-11-01,monthly,aggTrades,data/spot/monthly/aggTrades/ASTERIDR/ASTERIDR-aggTrades-2025-11.zip
2025-11-01,monthly,trades,data/spot/monthly/trades/ASTERIDR/ASTERIDR-trades-2025-11.zip
2025-11-29,daily,aggTrades,data/spot/daily/aggTrades/ASTERIDR/ASTERIDR-aggTrades-2025-11-29.zip
2025-11-30,daily,aggTrades,data/spot/daily/aggTrades/ASTERIDR/ASTERIDR-aggTrades-2025-11-30.zip
2025-12-01,daily,aggTrades,data/spot/daily/aggTrades/ASTERIDR/ASTERIDR-aggTrades-2025-12-01.zip
2025-12-02,daily,aggTrades,data/spot/daily/aggTrades/ASTERIDR/ASTERIDR-aggTrades-2025-12-02.zip
2025-12-03,daily,aggTrades,data/spot/daily/aggTrades/ASTERIDR/ASTERIDR-aggTrades-2025-12-03.zip
2025-12-04,daily,aggTrades,data/spot/daily/aggTrades/ASTERIDR/ASTERIDR-aggTrades-2025-12-04.zip
2025-12-05,daily,aggTrades,data/spot/daily/aggTrades/ASTERIDR/ASTERIDR-aggTrades-2025-12-05.zip
2025-12-06,daily,aggTrades,data/spot/daily/aggTrades/ASTERIDR/ASTERIDR-aggTrades-2025-12-06.zip
2025-12-07,daily,aggTrades,data/spot/daily/aggTrades/ASTERIDR/ASTERIDR-aggTrades-2025-12-07.zip
