date,interval,data_type,key
2026-03-05,daily,aggTrades,data/spot/daily/aggTrades/AVAXU/AVAXU-aggTrades-2026-03-05.zip
2026-03-06,daily,aggTrades,data/spot/daily/aggTrades/AVAXU/AVAXU-aggTrades-2026-03-06.zip
2026-03-08,daily,aggTrades,data/spot/daily/aggTrades/AVAXU/AVAXU-aggTrades-2026-03-08.zip
2026-03-09,daily,aggTrades,data/spot/daily/aggTrades/AVAXU/AVAXU-aggTrades-2026-03-09.zip
2026-03-10,daily,aggTrades,data/spot/daily/aggTrades/AVAXU/AVAXU-aggTrades-2026-03-10.zip
2026-03-11,daily,aggTrades,data/spot/daily/aggTrades/AVAXU/AVAXU-aggTrades-2026-03-11.zip
2026-03-12,daily,aggTrades,data/spot/daily/aggTrades/AVAXU/AVAXU-aggTrades-2026-03-12.zip
2026-03-13,daily,aggTrades,data/spot/daily/aggTrades/AVAXU/AVAXU-aggTrades-2026-03-13.zip
2026-03-15,daily,aggTrades,data/spot/daily/aggTrades/AVAXU/AVAXU-aggTrades-2026-03-15.zip
2026-03-16,daily,aggTrades,data/spot/daily/aggTrades/AVAXU/AVAXU-aggTrades-2026-03-16.zip
2026-03-17,daily,aggTrades,data/spot/daily/aggTrades/AVAXU/AVAXU-aggTrades-2026-03-17.zip
2026-03-18,daily,aggTrades,data/spot/daily/aggTrades/AVAXU/AVAXU-aggTrades-2026-03-18.zip
2026-03-19,daily,aggTrades,data/spot/daily/aggTrades/AVAXU/AVAXU-aggTrades-2026-03-19.zip
2026-03-20,daily,aggTrades,data/spot/daily/aggTrades/AVAXU/AVAXU-aggTrades-2026-03-20.zip
2026-03-21,daily,aggTrades,data/spot/daily/aggTrades/AVAXU/AVAXU-aggTrades-2026-03-21.zip
2026-03-22,daily,aggTrades,data/spot/daily/aggTrades/AVAXU/AVAXU-aggTrades-2026-03-22.zip
2026-03-23,daily,aggTrades,data/spot/daily/aggTrades/AVAXU/AVAXU-aggTrades-2026-03-23.zip
2026-03-24,daily,aggTrades,data/spot/daily/aggTrades/AVAXU/AVAXU-aggTrades-2026-03-24.zip
