date,interval,data_type,key
2022-04-01,monthly,aggTrades,data/spot/monthly/aggTrades/BTCUST/BTCUST-aggTrades-2022-04.zip
2022-04-01,monthly,trades,data/spot/monthly/trades/BTCUST/BTCUST-trades-2022-04.zip
2022-04-22,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-04-22.zip
2022-04-23,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-04-23.zip
2022-04-24,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-04-24.zip
2022-04-25,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-04-25.zip
2022-04-26,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-04-26.zip
2022-04-27,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-04-27.zip
2022-04-28,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-04-28.zip
2022-04-29,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-04-29.zip
2022-04-30,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-04-30.zip
2022-05-01,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-05-01.zip
2022-05-01,monthly,aggTrades,data/spot/monthly/aggTrades/BTCUST/BTCUST-aggTrades-2022-05.zip
2022-05-01,monthly,trades,data/spot/monthly/trades/BTCUST/BTCUST-trades-2022-05.zip
2022-05-02,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-05-02.zip
2022-05-03,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-05-03.zip
2022-05-04,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-05-04.zip
2022-05-05,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-05-05.zip
2022-05-06,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-05-06.zip
2022-05-07,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-05-07.zip
2022-05-08,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-05-08.zip
2022-05-09,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-05-09.zip
2022-05-10,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-05-10.zip
2022-05-11,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-05-11.zip
2022-05-12,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-05-12.zip
2022-05-13,daily,aggTrades,data/spot/daily/aggTrades/BTCUST/BTCUST-aggTrades-2022-05-13.zip
