date,interval,data_type,key
2021-09-01,monthly,aggTrades,data/spot/monthly/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-09.zip
2021-09-01,monthly,trades,data/spot/monthly/trades/CAKEAUD/CAKEAUD-trades-2021-09.zip
2021-09-17,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-09-17.zip
2021-09-18,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-09-18.zip
2021-09-19,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-09-19.zip
2021-09-20,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-09-20.zip
2021-09-21,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-09-21.zip
2021-09-22,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-09-22.zip
2021-09-23,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-09-23.zip
2021-09-24,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-09-24.zip
2021-09-25,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-09-25.zip
2021-09-26,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-09-26.zip
2021-09-27,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-09-27.zip
2021-09-28,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-09-28.zip
2021-09-29,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-09-29.zip
2021-09-30,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-09-30.zip
2021-10-01,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-01.zip
2021-10-01,monthly,aggTrades,data/spot/monthly/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10.zip
2021-10-01,monthly,trades,data/spot/monthly/trades/CAKEAUD/CAKEAUD-trades-2021-10.zip
2021-10-02,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-02.zip
2021-10-03,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-03.zip
2021-10-04,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-04.zip
2021-10-05,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-05.zip
2021-10-06,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-06.zip
2021-10-07,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-07.zip
2021-10-08,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-08.zip
2021-10-09,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-09.zip
2021-10-10,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-10.zip
2021-10-11,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-11.zip
2021-10-12,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-12.zip
2021-10-13,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-13.zip
2021-10-14,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-14.zip
2021-10-15,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-15.zip
2021-10-16,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-16.zip
2021-10-17,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-17.zip
2021-10-18,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-18.zip
2021-10-19,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-19.zip
2021-10-20,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-20.zip
2021-10-21,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-21.zip
2021-10-22,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-22.zip
2021-10-23,daily,aggTrades,data/spot/daily/aggTrades/CAKEAUD/CAKEAUD-aggTrades-2021-10-23.zip
