date,interval,data_type,key
2026-04-21,daily,aggTrades,data/spot/daily/aggTrades/CHIPUSDC/CHIPUSDC-aggTrades-2026-04-21.zip
2026-04-22,daily,aggTrades,data/spot/daily/aggTrades/CHIPUSDC/CHIPUSDC-aggTrades-2026-04-22.zip
2026-04-23,daily,aggTrades,data/spot/daily/aggTrades/CHIPUSDC/CHIPUSDC-aggTrades-2026-04-23.zip
2026-04-24,daily,aggTrades,data/spot/daily/aggTrades/CHIPUSDC/CHIPUSDC-aggTrades-2026-04-24.zip
2026-04-25,daily,aggTrades,data/spot/daily/aggTrades/CHIPUSDC/CHIPUSDC-aggTrades-2026-04-25.zip
2026-04-26,daily,aggTrades,data/spot/daily/aggTrades/CHIPUSDC/CHIPUSDC-aggTrades-2026-04-26.zip
2026-04-27,daily,aggTrades,data/spot/daily/aggTrades/CHIPUSDC/CHIPUSDC-aggTrades-2026-04-27.zip
2026-04-28,daily,aggTrades,data/spot/daily/aggTrades/CHIPUSDC/CHIPUSDC-aggTrades-2026-04-28.zip
2026-04-29,daily,aggTrades,data/spot/daily/aggTrades/CHIPUSDC/CHIPUSDC-aggTrades-2026-04-29.zip
2026-04-30,daily,aggTrades,data/spot/daily/aggTrades/CHIPUSDC/CHIPUSDC-aggTrades-2026-04-30.zip
2026-05-01,daily,aggTrades,data/spot/daily/aggTrades/CHIPUSDC/CHIPUSDC-aggTrades-2026-05-01.zip
2026-05-02,daily,aggTrades,data/spot/daily/aggTrades/CHIPUSDC/CHIPUSDC-aggTrades-2026-05-02.zip
