date,interval,data_type,key
2026-07-01,monthly,aggTrades,data/spot/monthly/aggTrades/DELLBUSDT/DELLBUSDT-aggTrades-2026-07.zip
2026-07-01,monthly,trades,data/spot/monthly/trades/DELLBUSDT/DELLBUSDT-trades-2026-07.zip
2026-07-29,daily,aggTrades,data/spot/daily/aggTrades/DELLBUSDT/DELLBUSDT-aggTrades-2026-07-29.zip
2026-07-30,daily,aggTrades,data/spot/daily/aggTrades/DELLBUSDT/DELLBUSDT-aggTrades-2026-07-30.zip
2026-07-31,daily,aggTrades,data/spot/daily/aggTrades/DELLBUSDT/DELLBUSDT-aggTrades-2026-07-31.zip
2026-08-01,daily,aggTrades,data/spot/daily/aggTrades/DELLBUSDT/DELLBUSDT-aggTrades-2026-08-01.zip
2026-08-02,daily,aggTrades,data/spot/daily/aggTrades/DELLBUSDT/DELLBUSDT-aggTrades-2026-08-02.zip
2026-08-03,daily,aggTrades,data/spot/daily/aggTrades/DELLBUSDT/DELLBUSDT-aggTrades-2026-08-03.zip
2026-08-04,daily,aggTrades,data/spot/daily/aggTrades/DELLBUSDT/DELLBUSDT-aggTrades-2026-08-04.zip
2026-08-05,daily,aggTrades,data/spot/daily/aggTrades/DELLBUSDT/DELLBUSDT-aggTrades-2026-08-05.zip
2026-08-06,daily,aggTrades,data/spot/daily/aggTrades/DELLBUSDT/DELLBUSDT-aggTrades-2026-08-06.zip
2026-08-07,daily,aggTrades,data/spot/daily/aggTrades/DELLBUSDT/DELLBUSDT-aggTrades-2026-08-07.zip
2026-08-08,daily,aggTrades,data/spot/daily/aggTrades/DELLBUSDT/DELLBUSDT-aggTrades-2026-08-08.zip
2026-08-09,daily,aggTrades,data/spot/daily/aggTrades/DELLBUSDT/DELLBUSDT-aggTrades-2026-08-09.zip
2026-08-10,daily,aggTrades,data/spot/daily/aggTrades/DELLBUSDT/DELLBUSDT-aggTrades-2026-08-10.zip
