date,interval,data_type,key
2025-12-04,daily,aggTrades,data/spot/daily/aggTrades/DYMUSDC/DYMUSDC-aggTrades-2025-12-04.zip
2025-12-05,daily,aggTrades,data/spot/daily/aggTrades/DYMUSDC/DYMUSDC-aggTrades-2025-12-05.zip
2025-12-06,daily,aggTrades,data/spot/daily/aggTrades/DYMUSDC/DYMUSDC-aggTrades-2025-12-06.zip
2025-12-07,daily,aggTrades,data/spot/daily/aggTrades/DYMUSDC/DYMUSDC-aggTrades-2025-12-07.zip
2025-12-08,daily,aggTrades,data/spot/daily/aggTrades/DYMUSDC/DYMUSDC-aggTrades-2025-12-08.zip
2025-12-09,daily,aggTrades,data/spot/daily/aggTrades/DYMUSDC/DYMUSDC-aggTrades-2025-12-09.zip
2025-12-10,daily,aggTrades,data/spot/daily/aggTrades/DYMUSDC/DYMUSDC-aggTrades-2025-12-10.zip
2025-12-11,daily,aggTrades,data/spot/daily/aggTrades/DYMUSDC/DYMUSDC-aggTrades-2025-12-11.zip
2025-12-12,daily,aggTrades,data/spot/daily/aggTrades/DYMUSDC/DYMUSDC-aggTrades-2025-12-12.zip
2025-12-13,daily,aggTrades,data/spot/daily/aggTrades/DYMUSDC/DYMUSDC-aggTrades-2025-12-13.zip
2025-12-14,daily,aggTrades,data/spot/daily/aggTrades/DYMUSDC/DYMUSDC-aggTrades-2025-12-14.zip
2025-12-15,daily,aggTrades,data/spot/daily/aggTrades/DYMUSDC/DYMUSDC-aggTrades-2025-12-15.zip
