date,interval,data_type,key
2026-02-12,daily,aggTrades,data/spot/daily/aggTrades/ESPTRY/ESPTRY-aggTrades-2026-02-12.zip
2026-02-13,daily,aggTrades,data/spot/daily/aggTrades/ESPTRY/ESPTRY-aggTrades-2026-02-13.zip
2026-02-14,daily,aggTrades,data/spot/daily/aggTrades/ESPTRY/ESPTRY-aggTrades-2026-02-14.zip
2026-02-15,daily,aggTrades,data/spot/daily/aggTrades/ESPTRY/ESPTRY-aggTrades-2026-02-15.zip
2026-02-16,daily,aggTrades,data/spot/daily/aggTrades/ESPTRY/ESPTRY-aggTrades-2026-02-16.zip
2026-02-17,daily,aggTrades,data/spot/daily/aggTrades/ESPTRY/ESPTRY-aggTrades-2026-02-17.zip
2026-02-18,daily,aggTrades,data/spot/daily/aggTrades/ESPTRY/ESPTRY-aggTrades-2026-02-18.zip
2026-02-19,daily,aggTrades,data/spot/daily/aggTrades/ESPTRY/ESPTRY-aggTrades-2026-02-19.zip
2026-02-20,daily,aggTrades,data/spot/daily/aggTrades/ESPTRY/ESPTRY-aggTrades-2026-02-20.zip
2026-02-21,daily,aggTrades,data/spot/daily/aggTrades/ESPTRY/ESPTRY-aggTrades-2026-02-21.zip
2026-02-22,daily,aggTrades,data/spot/daily/aggTrades/ESPTRY/ESPTRY-aggTrades-2026-02-22.zip
2026-02-23,daily,aggTrades,data/spot/daily/aggTrades/ESPTRY/ESPTRY-aggTrades-2026-02-23.zip
2026-02-24,daily,aggTrades,data/spot/daily/aggTrades/ESPTRY/ESPTRY-aggTrades-2026-02-24.zip
2026-02-25,daily,aggTrades,data/spot/daily/aggTrades/ESPTRY/ESPTRY-aggTrades-2026-02-25.zip
