date,interval,data_type,key
2026-01-01,monthly,aggTrades,data/spot/monthly/aggTrades/ETHU/ETHU-aggTrades-2026-01.zip
2026-01-01,monthly,trades,data/spot/monthly/trades/ETHU/ETHU-trades-2026-01.zip
2026-01-27,daily,aggTrades,data/spot/daily/aggTrades/ETHU/ETHU-aggTrades-2026-01-27.zip
2026-01-28,daily,aggTrades,data/spot/daily/aggTrades/ETHU/ETHU-aggTrades-2026-01-28.zip
2026-01-29,daily,aggTrades,data/spot/daily/aggTrades/ETHU/ETHU-aggTrades-2026-01-29.zip
2026-01-30,daily,aggTrades,data/spot/daily/aggTrades/ETHU/ETHU-aggTrades-2026-01-30.zip
2026-01-31,daily,aggTrades,data/spot/daily/aggTrades/ETHU/ETHU-aggTrades-2026-01-31.zip
2026-02-01,daily,aggTrades,data/spot/daily/aggTrades/ETHU/ETHU-aggTrades-2026-02-01.zip
2026-02-02,daily,aggTrades,data/spot/daily/aggTrades/ETHU/ETHU-aggTrades-2026-02-02.zip
2026-02-03,daily,aggTrades,data/spot/daily/aggTrades/ETHU/ETHU-aggTrades-2026-02-03.zip
