date,interval,data_type,key
2025-10-13,daily,aggTrades,data/spot/daily/aggTrades/EULUSDT/EULUSDT-aggTrades-2025-10-13.zip
2025-10-14,daily,aggTrades,data/spot/daily/aggTrades/EULUSDT/EULUSDT-aggTrades-2025-10-14.zip
2025-10-15,daily,aggTrades,data/spot/daily/aggTrades/EULUSDT/EULUSDT-aggTrades-2025-10-15.zip
2025-10-16,daily,aggTrades,data/spot/daily/aggTrades/EULUSDT/EULUSDT-aggTrades-2025-10-16.zip
2025-10-17,daily,aggTrades,data/spot/daily/aggTrades/EULUSDT/EULUSDT-aggTrades-2025-10-17.zip
2025-10-18,daily,aggTrades,data/spot/daily/aggTrades/EULUSDT/EULUSDT-aggTrades-2025-10-18.zip
2025-10-19,daily,aggTrades,data/spot/daily/aggTrades/EULUSDT/EULUSDT-aggTrades-2025-10-19.zip
2025-10-20,daily,aggTrades,data/spot/daily/aggTrades/EULUSDT/EULUSDT-aggTrades-2025-10-20.zip
2025-10-21,daily,aggTrades,data/spot/daily/aggTrades/EULUSDT/EULUSDT-aggTrades-2025-10-21.zip
2025-10-22,daily,aggTrades,data/spot/daily/aggTrades/EULUSDT/EULUSDT-aggTrades-2025-10-22.zip
2025-10-23,daily,aggTrades,data/spot/daily/aggTrades/EULUSDT/EULUSDT-aggTrades-2025-10-23.zip
2025-10-24,daily,aggTrades,data/spot/daily/aggTrades/EULUSDT/EULUSDT-aggTrades-2025-10-24.zip
2025-10-25,daily,aggTrades,data/spot/daily/aggTrades/EULUSDT/EULUSDT-aggTrades-2025-10-25.zip
