date,interval,data_type,key
2026-03-01,monthly,aggTrades,data/spot/monthly/aggTrades/FETU/FETU-aggTrades-2026-03.zip
2026-03-01,monthly,trades,data/spot/monthly/trades/FETU/FETU-trades-2026-03.zip
2026-03-31,daily,aggTrades,data/spot/daily/aggTrades/FETU/FETU-aggTrades-2026-03-31.zip
2026-04-01,daily,aggTrades,data/spot/daily/aggTrades/FETU/FETU-aggTrades-2026-04-01.zip
2026-04-02,daily,aggTrades,data/spot/daily/aggTrades/FETU/FETU-aggTrades-2026-04-02.zip
2026-04-03,daily,aggTrades,data/spot/daily/aggTrades/FETU/FETU-aggTrades-2026-04-03.zip
2026-04-04,daily,aggTrades,data/spot/daily/aggTrades/FETU/FETU-aggTrades-2026-04-04.zip
2026-04-05,daily,aggTrades,data/spot/daily/aggTrades/FETU/FETU-aggTrades-2026-04-05.zip
2026-04-06,daily,aggTrades,data/spot/daily/aggTrades/FETU/FETU-aggTrades-2026-04-06.zip
2026-04-07,daily,aggTrades,data/spot/daily/aggTrades/FETU/FETU-aggTrades-2026-04-07.zip
2026-04-08,daily,aggTrades,data/spot/daily/aggTrades/FETU/FETU-aggTrades-2026-04-08.zip
2026-04-09,daily,aggTrades,data/spot/daily/aggTrades/FETU/FETU-aggTrades-2026-04-09.zip
2026-04-10,daily,aggTrades,data/spot/daily/aggTrades/FETU/FETU-aggTrades-2026-04-10.zip
2026-04-11,daily,aggTrades,data/spot/daily/aggTrades/FETU/FETU-aggTrades-2026-04-11.zip
2026-04-12,daily,aggTrades,data/spot/daily/aggTrades/FETU/FETU-aggTrades-2026-04-12.zip
2026-04-13,daily,aggTrades,data/spot/daily/aggTrades/FETU/FETU-aggTrades-2026-04-13.zip
2026-04-15,daily,aggTrades,data/spot/daily/aggTrades/FETU/FETU-aggTrades-2026-04-15.zip
