date,interval,data_type,key
2026-01-01,monthly,aggTrades,data/spot/monthly/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-01.zip
2026-01-01,monthly,trades,data/spot/monthly/trades/FOGOTRY/FOGOTRY-trades-2026-01.zip
2026-01-15,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-01-15.zip
2026-01-16,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-01-16.zip
2026-01-17,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-01-17.zip
2026-01-18,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-01-18.zip
2026-01-19,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-01-19.zip
2026-01-20,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-01-20.zip
2026-01-21,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-01-21.zip
2026-01-22,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-01-22.zip
2026-01-23,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-01-23.zip
2026-01-24,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-01-24.zip
2026-01-25,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-01-25.zip
2026-01-26,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-01-26.zip
2026-01-27,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-01-27.zip
2026-01-28,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-01-28.zip
2026-01-29,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-01-29.zip
2026-01-30,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-01-30.zip
2026-01-31,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-01-31.zip
2026-02-01,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-02-01.zip
2026-02-02,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-02-02.zip
2026-02-03,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-02-03.zip
2026-02-04,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-02-04.zip
2026-02-05,daily,aggTrades,data/spot/daily/aggTrades/FOGOTRY/FOGOTRY-aggTrades-2026-02-05.zip
