date,interval,data_type,key
2017-08-01,monthly,aggTrades,data/spot/monthly/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-08.zip
2017-08-01,monthly,trades,data/spot/monthly/trades/HCCBTC/HCCBTC-trades-2017-08.zip
2017-08-15,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-08-15.zip
2017-08-16,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-08-16.zip
2017-08-17,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-08-17.zip
2017-08-18,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-08-18.zip
2017-08-19,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-08-19.zip
2017-08-20,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-08-20.zip
2017-08-21,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-08-21.zip
2017-08-22,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-08-22.zip
2017-08-23,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-08-23.zip
2017-08-24,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-08-24.zip
2017-08-25,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-08-25.zip
2017-08-26,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-08-26.zip
2017-08-27,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-08-27.zip
2017-08-28,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-08-28.zip
2017-08-29,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-08-29.zip
2017-08-30,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-08-30.zip
2017-08-31,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-08-31.zip
2017-09-01,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-09-01.zip
2017-09-01,monthly,aggTrades,data/spot/monthly/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-09.zip
2017-09-01,monthly,trades,data/spot/monthly/trades/HCCBTC/HCCBTC-trades-2017-09.zip
2017-09-02,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-09-02.zip
2017-09-03,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-09-03.zip
2017-09-04,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-09-04.zip
2017-09-05,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-09-05.zip
2017-09-06,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-09-06.zip
2017-12-01,monthly,aggTrades,data/spot/monthly/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-12.zip
2017-12-01,monthly,trades,data/spot/monthly/trades/HCCBTC/HCCBTC-trades-2017-12.zip
2017-12-18,daily,aggTrades,data/spot/daily/aggTrades/HCCBTC/HCCBTC-aggTrades-2017-12-18.zip
