date,interval,data_type,key
2026-03-18,daily,aggTrades,data/spot/daily/aggTrades/KATUSDC/KATUSDC-aggTrades-2026-03-18.zip
2026-03-19,daily,aggTrades,data/spot/daily/aggTrades/KATUSDC/KATUSDC-aggTrades-2026-03-19.zip
2026-03-20,daily,aggTrades,data/spot/daily/aggTrades/KATUSDC/KATUSDC-aggTrades-2026-03-20.zip
2026-03-21,daily,aggTrades,data/spot/daily/aggTrades/KATUSDC/KATUSDC-aggTrades-2026-03-21.zip
2026-03-22,daily,aggTrades,data/spot/daily/aggTrades/KATUSDC/KATUSDC-aggTrades-2026-03-22.zip
2026-03-23,daily,aggTrades,data/spot/daily/aggTrades/KATUSDC/KATUSDC-aggTrades-2026-03-23.zip
2026-03-24,daily,aggTrades,data/spot/daily/aggTrades/KATUSDC/KATUSDC-aggTrades-2026-03-24.zip
2026-03-25,daily,aggTrades,data/spot/daily/aggTrades/KATUSDC/KATUSDC-aggTrades-2026-03-25.zip
2026-03-26,daily,aggTrades,data/spot/daily/aggTrades/KATUSDC/KATUSDC-aggTrades-2026-03-26.zip
2026-03-27,daily,aggTrades,data/spot/daily/aggTrades/KATUSDC/KATUSDC-aggTrades-2026-03-27.zip
2026-03-28,daily,aggTrades,data/spot/daily/aggTrades/KATUSDC/KATUSDC-aggTrades-2026-03-28.zip
2026-03-29,daily,aggTrades,data/spot/daily/aggTrades/KATUSDC/KATUSDC-aggTrades-2026-03-29.zip
2026-03-30,daily,aggTrades,data/spot/daily/aggTrades/KATUSDC/KATUSDC-aggTrades-2026-03-30.zip
2026-03-31,daily,aggTrades,data/spot/daily/aggTrades/KATUSDC/KATUSDC-aggTrades-2026-03-31.zip
2026-04-01,daily,aggTrades,data/spot/daily/aggTrades/KATUSDC/KATUSDC-aggTrades-2026-04-01.zip
2026-04-02,daily,aggTrades,data/spot/daily/aggTrades/KATUSDC/KATUSDC-aggTrades-2026-04-02.zip
2026-04-03,daily,aggTrades,data/spot/daily/aggTrades/KATUSDC/KATUSDC-aggTrades-2026-04-03.zip
