date,interval,data_type,key
2020-09-01,monthly,aggTrades,data/spot/monthly/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-09.zip
2020-09-01,monthly,trades,data/spot/monthly/trades/LENDBKRW/LENDBKRW-trades-2020-09.zip
2020-09-16,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-09-16.zip
2020-09-17,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-09-17.zip
2020-09-18,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-09-18.zip
2020-09-19,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-09-19.zip
2020-09-20,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-09-20.zip
2020-09-21,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-09-21.zip
2020-09-22,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-09-22.zip
2020-09-23,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-09-23.zip
2020-09-24,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-09-24.zip
2020-09-25,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-09-25.zip
2020-09-26,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-09-26.zip
2020-09-27,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-09-27.zip
2020-09-28,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-09-28.zip
2020-09-29,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-09-29.zip
2020-09-30,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-09-30.zip
2020-10-01,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-10-01.zip
2020-10-01,monthly,aggTrades,data/spot/monthly/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-10.zip
2020-10-01,monthly,trades,data/spot/monthly/trades/LENDBKRW/LENDBKRW-trades-2020-10.zip
2020-10-02,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-10-02.zip
2020-10-03,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-10-03.zip
2020-10-04,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-10-04.zip
2020-10-05,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-10-05.zip
2020-10-06,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-10-06.zip
2020-10-07,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-10-07.zip
2020-10-08,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-10-08.zip
2020-10-09,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-10-09.zip
2020-10-10,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-10-10.zip
2020-10-11,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-10-11.zip
2020-10-12,daily,aggTrades,data/spot/daily/aggTrades/LENDBKRW/LENDBKRW-aggTrades-2020-10-12.zip
