date,interval,data_type,key
2025-12-24,daily,aggTrades,data/spot/daily/aggTrades/LUNCUSDC/LUNCUSDC-aggTrades-2025-12-24.zip
2025-12-25,daily,aggTrades,data/spot/daily/aggTrades/LUNCUSDC/LUNCUSDC-aggTrades-2025-12-25.zip
2025-12-26,daily,aggTrades,data/spot/daily/aggTrades/LUNCUSDC/LUNCUSDC-aggTrades-2025-12-26.zip
2025-12-27,daily,aggTrades,data/spot/daily/aggTrades/LUNCUSDC/LUNCUSDC-aggTrades-2025-12-27.zip
2025-12-28,daily,aggTrades,data/spot/daily/aggTrades/LUNCUSDC/LUNCUSDC-aggTrades-2025-12-28.zip
2025-12-29,daily,aggTrades,data/spot/daily/aggTrades/LUNCUSDC/LUNCUSDC-aggTrades-2025-12-29.zip
2025-12-30,daily,aggTrades,data/spot/daily/aggTrades/LUNCUSDC/LUNCUSDC-aggTrades-2025-12-30.zip
2025-12-31,daily,aggTrades,data/spot/daily/aggTrades/LUNCUSDC/LUNCUSDC-aggTrades-2025-12-31.zip
2026-01-01,daily,aggTrades,data/spot/daily/aggTrades/LUNCUSDC/LUNCUSDC-aggTrades-2026-01-01.zip
2026-01-02,daily,aggTrades,data/spot/daily/aggTrades/LUNCUSDC/LUNCUSDC-aggTrades-2026-01-02.zip
