date,interval,data_type,key
2026-09-04,daily,aggTrades,data/spot/daily/aggTrades/MARSCOINTRY/MARSCOINTRY-aggTrades-2026-09-04.zip
2026-09-05,daily,aggTrades,data/spot/daily/aggTrades/MARSCOINTRY/MARSCOINTRY-aggTrades-2026-09-05.zip
2026-09-06,daily,aggTrades,data/spot/daily/aggTrades/MARSCOINTRY/MARSCOINTRY-aggTrades-2026-09-06.zip
2026-09-07,daily,aggTrades,data/spot/daily/aggTrades/MARSCOINTRY/MARSCOINTRY-aggTrades-2026-09-07.zip
2026-09-08,daily,aggTrades,data/spot/daily/aggTrades/MARSCOINTRY/MARSCOINTRY-aggTrades-2026-09-08.zip
2026-09-09,daily,aggTrades,data/spot/daily/aggTrades/MARSCOINTRY/MARSCOINTRY-aggTrades-2026-09-09.zip
2026-09-10,daily,aggTrades,data/spot/daily/aggTrades/MARSCOINTRY/MARSCOINTRY-aggTrades-2026-09-10.zip
2026-09-11,daily,aggTrades,data/spot/daily/aggTrades/MARSCOINTRY/MARSCOINTRY-aggTrades-2026-09-11.zip
2026-09-12,daily,aggTrades,data/spot/daily/aggTrades/MARSCOINTRY/MARSCOINTRY-aggTrades-2026-09-12.zip
2026-09-13,daily,aggTrades,data/spot/daily/aggTrades/MARSCOINTRY/MARSCOINTRY-aggTrades-2026-09-13.zip
2026-09-14,daily,aggTrades,data/spot/daily/aggTrades/MARSCOINTRY/MARSCOINTRY-aggTrades-2026-09-14.zip
2026-09-15,daily,aggTrades,data/spot/daily/aggTrades/MARSCOINTRY/MARSCOINTRY-aggTrades-2026-09-15.zip
2026-09-16,daily,aggTrades,data/spot/daily/aggTrades/MARSCOINTRY/MARSCOINTRY-aggTrades-2026-09-16.zip
2026-09-17,daily,aggTrades,data/spot/daily/aggTrades/MARSCOINTRY/MARSCOINTRY-aggTrades-2026-09-17.zip
