date,interval,data_type,key
2026-06-01,monthly,aggTrades,data/spot/monthly/aggTrades/METABUSDT/METABUSDT-aggTrades-2026-06.zip
2026-06-01,monthly,trades,data/spot/monthly/trades/METABUSDT/METABUSDT-trades-2026-06.zip
2026-06-30,daily,aggTrades,data/spot/daily/aggTrades/METABUSDT/METABUSDT-aggTrades-2026-06-30.zip
2026-07-01,daily,aggTrades,data/spot/daily/aggTrades/METABUSDT/METABUSDT-aggTrades-2026-07-01.zip
2026-07-02,daily,aggTrades,data/spot/daily/aggTrades/METABUSDT/METABUSDT-aggTrades-2026-07-02.zip
2026-07-03,daily,aggTrades,data/spot/daily/aggTrades/METABUSDT/METABUSDT-aggTrades-2026-07-03.zip
2026-07-04,daily,aggTrades,data/spot/daily/aggTrades/METABUSDT/METABUSDT-aggTrades-2026-07-04.zip
2026-07-05,daily,aggTrades,data/spot/daily/aggTrades/METABUSDT/METABUSDT-aggTrades-2026-07-05.zip
2026-07-06,daily,aggTrades,data/spot/daily/aggTrades/METABUSDT/METABUSDT-aggTrades-2026-07-06.zip
2026-07-07,daily,aggTrades,data/spot/daily/aggTrades/METABUSDT/METABUSDT-aggTrades-2026-07-07.zip
2026-07-08,daily,aggTrades,data/spot/daily/aggTrades/METABUSDT/METABUSDT-aggTrades-2026-07-08.zip
