date,interval,data_type,key
2025-11-04,daily,aggTrades,data/spot/daily/aggTrades/MMTUSDC/MMTUSDC-aggTrades-2025-11-04.zip
2025-11-05,daily,aggTrades,data/spot/daily/aggTrades/MMTUSDC/MMTUSDC-aggTrades-2025-11-05.zip
2025-11-06,daily,aggTrades,data/spot/daily/aggTrades/MMTUSDC/MMTUSDC-aggTrades-2025-11-06.zip
2025-11-07,daily,aggTrades,data/spot/daily/aggTrades/MMTUSDC/MMTUSDC-aggTrades-2025-11-07.zip
2025-11-08,daily,aggTrades,data/spot/daily/aggTrades/MMTUSDC/MMTUSDC-aggTrades-2025-11-08.zip
2025-11-09,daily,aggTrades,data/spot/daily/aggTrades/MMTUSDC/MMTUSDC-aggTrades-2025-11-09.zip
2025-11-10,daily,aggTrades,data/spot/daily/aggTrades/MMTUSDC/MMTUSDC-aggTrades-2025-11-10.zip
2025-11-11,daily,aggTrades,data/spot/daily/aggTrades/MMTUSDC/MMTUSDC-aggTrades-2025-11-11.zip
2025-11-12,daily,aggTrades,data/spot/daily/aggTrades/MMTUSDC/MMTUSDC-aggTrades-2025-11-12.zip
2025-11-13,daily,aggTrades,data/spot/daily/aggTrades/MMTUSDC/MMTUSDC-aggTrades-2025-11-13.zip
2025-11-14,daily,aggTrades,data/spot/daily/aggTrades/MMTUSDC/MMTUSDC-aggTrades-2025-11-14.zip
2025-11-15,daily,aggTrades,data/spot/daily/aggTrades/MMTUSDC/MMTUSDC-aggTrades-2025-11-15.zip
2025-11-16,daily,aggTrades,data/spot/daily/aggTrades/MMTUSDC/MMTUSDC-aggTrades-2025-11-16.zip
2025-11-17,daily,aggTrades,data/spot/daily/aggTrades/MMTUSDC/MMTUSDC-aggTrades-2025-11-17.zip
2025-11-18,daily,aggTrades,data/spot/daily/aggTrades/MMTUSDC/MMTUSDC-aggTrades-2025-11-18.zip
2025-11-19,daily,aggTrades,data/spot/daily/aggTrades/MMTUSDC/MMTUSDC-aggTrades-2025-11-19.zip
