date,interval,data_type,key
2026-05-01,monthly,aggTrades,data/spot/monthly/aggTrades/OPGTRY/OPGTRY-aggTrades-2026-05.zip
2026-05-01,monthly,trades,data/spot/monthly/trades/OPGTRY/OPGTRY-trades-2026-05.zip
2026-05-22,daily,aggTrades,data/spot/daily/aggTrades/OPGTRY/OPGTRY-aggTrades-2026-05-22.zip
2026-05-23,daily,aggTrades,data/spot/daily/aggTrades/OPGTRY/OPGTRY-aggTrades-2026-05-23.zip
2026-05-24,daily,aggTrades,data/spot/daily/aggTrades/OPGTRY/OPGTRY-aggTrades-2026-05-24.zip
2026-05-25,daily,aggTrades,data/spot/daily/aggTrades/OPGTRY/OPGTRY-aggTrades-2026-05-25.zip
2026-05-26,daily,aggTrades,data/spot/daily/aggTrades/OPGTRY/OPGTRY-aggTrades-2026-05-26.zip
2026-05-27,daily,aggTrades,data/spot/daily/aggTrades/OPGTRY/OPGTRY-aggTrades-2026-05-27.zip
2026-05-28,daily,aggTrades,data/spot/daily/aggTrades/OPGTRY/OPGTRY-aggTrades-2026-05-28.zip
2026-05-29,daily,aggTrades,data/spot/daily/aggTrades/OPGTRY/OPGTRY-aggTrades-2026-05-29.zip
2026-05-30,daily,aggTrades,data/spot/daily/aggTrades/OPGTRY/OPGTRY-aggTrades-2026-05-30.zip
2026-05-31,daily,aggTrades,data/spot/daily/aggTrades/OPGTRY/OPGTRY-aggTrades-2026-05-31.zip
2026-06-01,daily,aggTrades,data/spot/daily/aggTrades/OPGTRY/OPGTRY-aggTrades-2026-06-01.zip
2026-06-02,daily,aggTrades,data/spot/daily/aggTrades/OPGTRY/OPGTRY-aggTrades-2026-06-02.zip
2026-06-03,daily,aggTrades,data/spot/daily/aggTrades/OPGTRY/OPGTRY-aggTrades-2026-06-03.zip
2026-06-04,daily,aggTrades,data/spot/daily/aggTrades/OPGTRY/OPGTRY-aggTrades-2026-06-04.zip
2026-06-05,daily,aggTrades,data/spot/daily/aggTrades/OPGTRY/OPGTRY-aggTrades-2026-06-05.zip
2026-06-06,daily,aggTrades,data/spot/daily/aggTrades/OPGTRY/OPGTRY-aggTrades-2026-06-06.zip
