date,interval,data_type,key
2026-04-01,monthly,aggTrades,data/spot/monthly/aggTrades/ORDIU/ORDIU-aggTrades-2026-04.zip
2026-04-01,monthly,trades,data/spot/monthly/trades/ORDIU/ORDIU-trades-2026-04.zip
2026-04-21,daily,aggTrades,data/spot/daily/aggTrades/ORDIU/ORDIU-aggTrades-2026-04-21.zip
2026-04-22,daily,aggTrades,data/spot/daily/aggTrades/ORDIU/ORDIU-aggTrades-2026-04-22.zip
2026-04-23,daily,aggTrades,data/spot/daily/aggTrades/ORDIU/ORDIU-aggTrades-2026-04-23.zip
2026-04-24,daily,aggTrades,data/spot/daily/aggTrades/ORDIU/ORDIU-aggTrades-2026-04-24.zip
2026-04-25,daily,aggTrades,data/spot/daily/aggTrades/ORDIU/ORDIU-aggTrades-2026-04-25.zip
2026-04-26,daily,aggTrades,data/spot/daily/aggTrades/ORDIU/ORDIU-aggTrades-2026-04-26.zip
2026-04-27,daily,aggTrades,data/spot/daily/aggTrades/ORDIU/ORDIU-aggTrades-2026-04-27.zip
2026-04-28,daily,aggTrades,data/spot/daily/aggTrades/ORDIU/ORDIU-aggTrades-2026-04-28.zip
2026-04-29,daily,aggTrades,data/spot/daily/aggTrades/ORDIU/ORDIU-aggTrades-2026-04-29.zip
2026-04-30,daily,aggTrades,data/spot/daily/aggTrades/ORDIU/ORDIU-aggTrades-2026-04-30.zip
2026-05-01,daily,aggTrades,data/spot/daily/aggTrades/ORDIU/ORDIU-aggTrades-2026-05-01.zip
2026-05-02,daily,aggTrades,data/spot/daily/aggTrades/ORDIU/ORDIU-aggTrades-2026-05-02.zip
2026-05-03,daily,aggTrades,data/spot/daily/aggTrades/ORDIU/ORDIU-aggTrades-2026-05-03.zip
2026-05-04,daily,aggTrades,data/spot/daily/aggTrades/ORDIU/ORDIU-aggTrades-2026-05-04.zip
2026-05-05,daily,aggTrades,data/spot/daily/aggTrades/ORDIU/ORDIU-aggTrades-2026-05-05.zip
2026-05-06,daily,aggTrades,data/spot/daily/aggTrades/ORDIU/ORDIU-aggTrades-2026-05-06.zip
